id_en	text_clean	pun_word	pun_type	first_meaning	second_meaning	first_context	second_context	manual_location	manual_type	manual_alternative	pun_word_fr	first_meaning_fr	second_meaning_fr	first_context_fr	second_context_fr
en_30	Old tree surgeons never die, they are just uprooted.	uprooted	homographic	['unearthed', 'pulled out', 'grubbed up', 'extracted']	['displaced', 'relocated', 'removed', 'passed away']	['tree', 'surgeons']	['Old', 'never die']	uprooted	homographic	uprooted	déraciné	['déterré', 'arraché', 'extirpé', 'extrait']	['déplacé', 'relogé', 'enlevé', 'décédé']	['arbre', 'élagueurs']	['Vieux', 'ne meurent jamais']
en_31	The trucker explained that he was early because he had had no breaks.	breaks	homophonic	['rest', 'pause', 'intermission', 'recess', 'breather']	['brakes', 'stoppers', 'decelerators', 'curbs']	['early']	['trucker']	breaks	homophonic	brakes	pauses	['repos', 'pause', 'entracte', 'récréation', 'moment de répit']	['freins', 'arrêts', 'décélérateurs', 'limitations']	['tôt']	['routier']
en_32	Old plumbers never die, they just pipe down.	pipe	homographic	['plumb', 'tube', 'conduit', 'channel', 'piping']	['hush', 'shush', 'be quiet', 'silence', 'settle down']	['plumbers']	['die']	pipe	homographic	pipe	tuyau	['plomb', 'tube', 'conduit', 'canal', 'tuyauterie']	['chut', 'faire taire', 'se taire', 'silence', 'se calmer']	['plombiers']	['mourir']
en_33	The cat in northern Scandinavia always had a lapp to sit on.	lapp	homophonic	['Sami', 'Saami', 'Laplander']	['lap', 'thighs', 'knees', 'seat']	['northern', 'Scandinavia']	['cat', 'sit']	lapp	homophonic	lap	lapon	['Sami', 'Saami', 'Lapon']	['giron', 'cuisses', 'genoux', 'siège']	['nordique', 'Scandinavie']	['chat', "s'asseoir"]
en_34	The groundskeeper at a large cemetery was important because he had 5000 people under him.	under	homographic	['subordinate', 'reporting to', 'supervised', 'managed', 'below in rank']	['beneath', 'below', 'underneath', 'buried', 'interred']	['important', '5000 people']	['groundskeeper', 'cemetery']	under	homographic	under	sous	['subordonné', 'relevant de', 'supervisé', 'dirigé', 'inférieur en rang']	['sous', 'en dessous', 'au-dessous', 'enterré', 'inhumé']	['important', '5000 personnes']	['gardien', 'cimetière']
en_35	A little boy called his father who made balloons 'pop'.	pop	homographic	['father', 'dad', 'papa', 'daddy', 'pa']	['burst', 'explode', 'bang', 'crack', 'snap']	['father', 'boy']	['balloons']	pop	homographic	pop	pop	['père', 'papa', 'papa', 'petit papa', "p'pa"]	['éclater', 'exploser', 'pan', 'craquer', 'claquer']	['père', 'garçon']	['ballons']
en_36	Neuter your dog-an ounce of prevention is better than a pound of curs.	curs	homophonic	['curs', 'mongrels', 'mutts', 'dogs', 'hounds']	['cure', 'remedy', 'treatment', 'solution', 'antidote']	['neuter', 'dog', 'pound']	['ounce', 'prevention', 'better', 'pound']	curs	homophonic	cures	chiens hargneux	['chiens hargneux', 'bâtards', 'clébards', 'chiens', 'limiers']	['remède', 'recours', 'traitement', 'solution', 'antidote']	['stériliser', 'chien', 'fourrière']	['once', 'prévention', 'mieux', 'livre']
en_37	He recommended the restaurant to me, and said he had no reservations.	reservations	homographic	['booking', 'arrangement', 'pre-engagement', 'appointment']	['doubts', 'hesitations', 'misgivings', 'qualms', 'uncertainty']	['restaurant']	['recommended']	reservations	homographic	reservations	réservations	['réservation', 'arrangement', 'engagement préalable', 'rendez-vous']	['doutes', 'hésitations', 'appréhensions', 'scrupules', 'incertitude']	['restaurant']	['recommandé']
en_38	The mortician was late for dinner because he was buried in his work.	buried	homographic	['interred', 'entombed', 'laid to rest', 'inhumed']	['overwhelmed', 'swamped', 'inundated', 'busy', 'engrossed']	['mortician']	['late for dinner', 'work']	buried	homographic	buried	enterré	['inhumé', 'enseveli', 'mis en terre', 'mis au tombeau']	['débordé', 'submergé', 'inondé', 'occupé', 'absorbé']	['croque-mort']	['en retard pour le dîner', 'travail']
en_39	Old enumerators never die, they just lose their census	census	homophonic	['census', 'population count', 'enumeration', 'survey', 'registry', 'poll']	['senses', 'faculties', 'perception', 'wits', 'awareness', 'consciousness']	['enumerators']	['die', 'lose']	census	homophonic	senses	recensement	['recensement', 'comptage de la population', 'énumération', 'enquête', 'registre', 'sondage']	['sens', 'facultés', 'perception', 'esprit', 'conscience', 'état de conscience']	['recenseurs']	['mourir', 'perdre']
en_40	The class took a field trip to a meat processing plant, but what they saw was just offal.	offal	homophonic	['entrails', 'organ meats', 'viscera', 'trimmings', 'offal']	['terrible', 'horrible', 'appalling', 'disgusting', 'awful']	['meat', 'processing', 'plant']	['but']	offal	homophonic	awful	abats	['entrailles', 'abats', 'viscères', 'parures', 'abats']	['terrible', 'horrible', 'épouvantable', 'dégoûtant', 'affreux']	['viande', 'transformation', 'usine']	['mais']
en_41	Old pilots never die, they just get more turbulent.	turbulent	homographic	['bumpy', 'choppy', 'rough', 'unstable', 'jarring']	['unruly', 'tempestuous', 'disorderly', 'rowdy', 'volatile']	['pilots']	['Old', 'die']	turbulent	homographic	turbulent	turbulent	['cahoteux', 'agité', 'mouvementé', 'instable', 'secouant']	['indiscipliné', 'tempétueux', 'désordonné', 'chahuteur', 'instable']	['pilotes']	['Vieux', 'mourir']
en_42	Use your own toothbrush! he bristled.	bristled	homographic	['seethed', 'fumed', 'bridled', 'took offense', 'became irritated']	['stiffened', 'stood on end', 'rose', 'prickled']	['Use your own toothbrush!']	['toothbrush']	bristled	homographic	bristled	s'est hérissé	['a bouilli de rage', 'a fumé', "s'est cabré", "s'est offusqué", "s'est irrité"]	["s'est raidi", "s'est dressé", "s'est levé", 'a piqué']	['Utilise ta propre brosse à dents !']	['brosse à dents']
en_43	My wife really likes to make pottery, but to me it's just kiln time.	kiln	homophonic	['kiln', 'oven', 'furnace', 'stove', 'firebox']	['killing', 'wasting', 'passing', 'idling', 'spending']	['pottery', 'make']	['time']	kiln	homophonic	killing	four	['four', 'fourneau', 'fournaise', 'poêle', 'foyer']	['tuer', 'gaspiller', 'passer', 'traîner', 'dépenser']	['poterie', 'fabriquer']	['temps']
en_44	I won't tell you anything about my salivary glands, he said secretively.	secretively	homographic	['stealthily', 'furtively', 'covertly', 'privately', 'clandestinely']	['secretory', 'secreting', 'discharging', 'releasing', 'emitting']	["won't", 'tell', 'anything']	['salivary', 'glands']	secretively	homophonic	secrete	secrètement	['furtivement', 'à la dérobée', 'secrètement', 'en privé', 'clandestinement']	['sécrétoire', 'sécrétant', 'déchargeant', 'libérant', 'émettant']	['ne dira', 'rien', 'du tout']	['salivaires', 'glandes']
en_45	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	degree	homographic	['qualification', 'diploma', 'certification', 'academic title', 'credential']	['extent', 'measure', 'level', 'amount', 'stage', 'grade']	['study', 'university']	['ambiguity']	degree	homographic	degree	degré	['qualification', 'diplôme', 'certification', 'titre académique', 'titre de compétence']	['étendue', 'mesure', 'niveau', 'quantité', 'stade', 'grade']	['études', 'université']	['ambiguïté']
en_46	People have a happy time vacationing in Ireland because they are walking on Eire.	Eire	homophonic	['Ireland', 'Republic of Ireland', 'Emerald Isle', 'Hibernia']	['air', 'atmosphere', 'elated', 'joyful', 'euphoric', 'thrilled']	['Ireland', 'vacationing']	['happy', 'walking on']	eire	homophonic	air	Eire	['Irlande', "République d'Irlande", "L'île d'Émeraude", 'Hibernie']	['air', 'atmosphère', 'exalté', 'joyeux', 'euphorique', 'ravi']	['Irlande', 'vacances']	['heureux', 'marcher sur']
en_47	Who's your favorite operatic tenor? he asked placidly.	placidly	homophonic	['calmly', 'serenely', 'tranquilly', 'peacefully', 'quietly']	['Plácido', 'Domingo', 'tenor', 'singer', 'performer']	['asked']	['operatic', 'tenor']	placidly	homophonic	placido	placidement	['calmement', 'sereinement', 'tranquillement', 'paisiblement', 'doucement']	['Plácido', 'Domingo', 'ténor', 'chanteur', 'interprète']	['demandé']	['lyrique', 'ténor']
en_48	The salt said 'hi' to the pepper. It was seasonings greetings.	seasonings	homophonic	['spices', 'flavorings', 'condiments', 'herbs', 'seasonings']	['holiday', 'festive', 'seasonal', 'time of year', "season's"]	['salt', 'pepper']	["said 'hi'", 'greetings']	seasonings	homophonic	seasons	assaisonnements	['épices', 'arômes', 'condiments', 'herbes', 'assaisonnements']	['fêtes', 'festif', 'saisonnier', "période de l'année", 'des fêtes']	['sel', 'poivre']	['a dit "salut"', 'salutations']
en_49	The book about Teflon contained no frictional characters.	frictional	homophonic	['abrasive', 'resistant', 'rubbing', 'chafing', 'frictional']	['imaginary', 'invented', 'made-up', 'fictitious', 'fictional']	['Teflon']	['book', 'characters']	frictional	homophonic	fictional	frictionnel	['abrasif', 'résistant', 'frottement', 'irritant', 'frictionnel']	['imaginaire', 'inventé', 'fictif', 'fictif', 'fictionnel']	['Téflon']	['livre', 'personnages']
en_50	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	opposed	homographic	['against', 'resistant', 'conflicting', 'hostile', 'dissenting']	['facing', 'opposite', 'counterposed', 'fronting', 'across']	['willing', 'cooperate']	['fingers', 'thumb', 'forefinger']	opposed	homographic	opposed	opposé	['contre', 'résistant', 'conflictuel', 'hostile', 'dissident']	['faisant face', 'opposé', 'contreposé', 'orienté vers', 'en face']	['disposé', 'coopérer']	['doigts', 'pouce', 'index']
en_51	If you spend too much time in the coffee shop you'll be latte for work.	latte	homophonic	['latte', 'espresso', 'coffee', 'beverage', 'caffeine']	['late', 'tardy', 'overdue', 'delayed', 'behind schedule']	['coffee shop']	['spend too much time', 'work']	latte	homophonic	late	latte	['latte', 'espresso', 'café', 'boisson', 'caféine']	['en retard', 'tardif', 'en retard', 'retardé', "en retard sur l'horaire"]	['café']	['passer trop de temps', 'travail']
en_52	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	galleon	homophonic	['ship', 'vessel', 'sailing vessel', 'craft', 'galleon']	['gallon', 'unit of volume', 'liquid measure', 'measure of fuel']	['ancient times', 'seagoing vessels']	['fuel efficient', 'miles']	galleon	homophonic	gallon	galion	['navire', 'vaisseau', 'voilier', 'embarcation', 'galion']	['gallon', 'unité de volume', 'mesure de liquide', 'mesure de carburant']	['temps anciens', 'navires de haute mer']	['économe en carburant', 'milles']
en_53	Some resist having the'flu jab but it's quite innocuous.	innocuous	homophonic	['harmless', 'safe', 'benign', 'inoffensive', 'innocuous']	['inoculation', 'vaccination', 'injection', 'immunization', 'in-ocuous']	['resist']	["'flu", 'jab']	innocuous	homophonic	inoculate	inoffensif	['inoffensif', 'sûr', 'bénin', 'sans danger', 'anodin']	['inoculation', 'vaccination', 'injection', 'immunisation', 'in-oculé']	['résister']	['grippe', 'piqûre']
en_54	Pretend we were in the days before railways, he coached.	coached	homographic	['instructed', 'trained', 'mentored', 'prompted', 'guided']	['drove', 'transported', 'traveled by carriage', 'conveyed']	['Pretend']	['railways', 'days before']	coached	homophonic	coach	entraîné	['instruit', 'entraîné', 'mentoré', 'incité', 'guidé']	['conduit', 'transporté', 'voyagé en diligence', 'acheminé']	['Faire semblant']	['chemins de fer', "jours d'autrefois"]
en_55	Old principals never die they just lose their faculties.	faculties	homographic	['abilities', 'senses', 'wits', 'capabilities', 'powers', 'mental capacity']	['staff', 'teachers', 'educators', 'academic staff', 'instructors']	['Old', 'die']	['principals']	faculties	homographic	faculties	facultés	['capacités', 'sens', 'esprit', 'aptitudes', 'pouvoirs', 'capacité mentale']	['personnel', 'enseignants', 'éducateurs', 'corps professoral', 'instructeurs']	['Vieux', 'mourir']	['directeurs']
en_56	Old railroaders never die, they just derail.	derail	homographic	['go off the tracks', 'crash', 'wreck', 'leave the tracks']	['die', 'pass away', 'perish', 'expire']	['railroaders']	['die']	derail	homographic	derail	dérailler	['sortir des rails', "s'écraser", 'se fracasser', 'quitter les rails']	['mourir', 'décéder', 'périr', 'expirer']	['cheminots']	['mourir']
en_57	He bought a plate with four corners so he could have a square meal.	square	homographic	['quadrilateral', 'four-sided', 'equilateral', 'rectangular']	['substantial', 'satisfying', 'hearty', 'solid', 'balanced']	['plate', 'four corners']	['meal']	square	homographic	square	carré	['quadrilatère', 'à quatre côtés', 'équilatéral', 'rectangulaire']	['substantiel', 'rassasiant', 'copieux', 'solide', 'équilibré']	['assiette', 'quatre coins']	['repas']
en_58	Because they moved into an apartment, they didn't need to cut the grass any mow.	mow	homophonic	['cut', 'trim', 'crop', 'shear', 'mow']	['longer', 'further', 'additionally', 'again', 'more']	['cut', 'grass']	['any']	mow	homophonic	more	tondre	['couper', 'tailler', 'faucher', 'tondre', 'cisailler']	['plus long', 'plus loin', 'de plus', 'encore', 'plus']	['couper', 'herbe']	["n'importe lequel"]
en_59	Gravity, it's always putting everyone down.	down	homographic	['downward', 'below', 'lower', 'earthward', 'descending']	['belittling', 'demeaning', 'insulting', 'criticizing', 'disparaging']	['Gravity']	['everyone']	putting	homographic	putting	bas	['vers le bas', 'en dessous', 'plus bas', 'vers la terre', 'descendant']	['rabaissant', 'humiliant', 'insultant', 'critiquant', 'dénigrant']	['Gravité']	['tout le monde']
en_60	The scorpion said to the desert, 'You know, our conversations are always so dry.'	dry	homographic	['arid', 'parched', 'waterless', 'dehydrated', 'moistureless']	['boring', 'dull', 'uninteresting', 'humorless', 'monotonous']	['desert', 'scorpion']	['conversations']	dry	homographic	dry	sec	['aride', 'desséché', 'sans eau', 'déshydraté', 'sans humidité']	['ennuyeux', 'terne', 'peu intéressant', 'sans humour', 'monotone']	['désert', 'scorpion']	['conversations']
en_61	A busy barber is quite harried.	harried	homophonic	['stressed', 'harassed', 'overwhelmed', 'pressured', 'agitated', 'troubled']	['haired', 'hairy', 'hirsute', 'covered in hair', 'shaggy', 'hair-covered']	['busy']	['barber']	harried	homophonic	hairy	harcelé	['stressé', 'harcelé', 'débordé', 'sous pression', 'agité', 'tourmenté']	['poilu', 'velu', 'hirsute', 'couvert de poils', 'bourru', 'recouvert de poils']	['occupé']	['barbier']
en_62	The gunman took a shot at new opportunities.	shot	homographic	['fired', 'discharged', 'blast', 'gunfire', 'projectile']	['attempt', 'chance', 'try', 'go', 'crack', 'endeavor']	['gunman']	['opportunities']	shot	homographic	shot	tir	['tiré', 'déchargé', 'déflagration', 'tirs', 'projectile']	['tentative', 'chance', 'essai', 'tentative', 'essai', 'effort']	['tireur']	['opportunités']
en_63	The cobbler was asked how many shoes he had soled by a well	soled	homophonic	['resoled', 'repaired', 'mended', 'bottomed', 'fixed']	['sold', 'vended', 'traded', 'marketed', 'exchanged']	['cobbler', 'shoes']	['how many']	soled	homophonic	sold	ressemelé	['ressemelé', 'réparé', 'raccommodé', 'remis à neuf', 'réparé']	['vendu', 'écoulé', 'échangé', 'commercialisé', 'troqué']	['cordonnier', 'chaussures']	['combien']
