id_en	text_clean	manual_type	predicted_type
en_6244	His affection for her was more than a passion interest.	homophonic	homographic
en_6734	An argument at the Bomb Squad convention ended in a blowup.	homographic	homographic
en_4012	She memorized just what kind of locket she wanted, by heart.	homographic	homographic
en_2955	The psychotic florist created many flower derangements.	homophonic	homophonic
en_5771	He avoided funerals because he was not a mourning person.	homophonic	homographic
en_442	Old tree surgeons never die, they just pine away.	homographic	homophonic
en_2198	I like ragged margins, he said without justification.	homographic	homographic
en_7282	She was only a Catcher's daughter, but she had many balls bounce off her chin.	homographic	homophonic
en_1883	A group called the Balloons sings pop music.	homographic	homographic
en_5167	I'll tempt Adam tonight, she said evilly.	homophonic	homophonic
en_7383	Doctor, doctor, I keep thinking I'm a billiard ball.-Get back in the queue. Next.	homophonic	homophonic
en_2942	Even though Ashley was blind and under arrest, she still had hope that someone would brail her out.	homophonic	homophonic
en_4682	Why was the car embarrassed? Because it had gas!	homographic	homophonic
en_2851	His business plan to manufacture scissors just didn't cut it.	homographic	homographic
en_2260	After the sniper attack at the symphony softball game, there were no men left on bass.	homophonic	homographic
en_4463	Old mediums never die, they just lose their spirits.	homographic	homographic
en_652	Before the golfer finished drinking the iced, brewed beverage he dropped his tee on the cart path.	homophonic	homophonic
en_4077	Old eskimos never die, they just go cold.	homographic	homographic
en_2144	There was a guy who was fired from the orange juice factory for lack of concentration.	homophonic	homographic
en_6913	I get my large circumference from too much pi.	homophonic	homophonic
en_3396	The careless pyromaniac made an ash of himself.	homophonic	homophonic
en_1256	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	homographic	homographic
en_6343	Pencil sharpeners have a tough life-they live off tips.	homographic	homographic
en_2410	Company's coming, he guessed.	homophonic	homophonic
en_6914	What keeps a dock floating above water? Pier pressure.	homophonic	homophonic
en_2977	Be true to your teeth, or they will be false to you.	homographic	homographic
en_3195	My stereo's half-fixed, he said monotonously.	homophonic	homophonic
en_7219	I was the first to climb Mount Everest, he said hilariously.	homophonic	homophonic
en_2740	He and his partner made knives, and they shared a cut.	homographic	homographic
en_3189	If you want a metal dog leash go to a chain store.	homographic	homographic
en_6140	Old tree surgeons never die, they just take a final bough.	homophonic	homophonic
en_6532	A case of disappearing bison had police completely buffaloed.	homophonic	homophonic
en_4520	Old chemists never die, they just fail to react.	homographic	homophonic
en_1399	Old shoemakers never die, they are just given the boot.	homographic	homographic
en_2010	I feel empty inside, he hollered.	homophonic	homophonic
en_6330	The triglyph commented, 'It's friezing in here..	homophonic	homophonic
en_2024	The Biomedical Engineer didn't have the heart to check the EKG machine.	homographic	homographic
en_7096	Two banks with different rates have a conflict of interest.	homographic	homographic
en_215	When it got stuck in the mud my car had to be toad.	homophonic	homophonic
en_389	Rabbits like their beer brewed with a lot of hops.	homographic	homographic
en_2329	I'd really like to know whether her collapse was due to a serious illness or whether it was one of her usual feints.	homophonic	homophonic
en_4342	I've gained thirty pounds, he said heavily.	homographic	homographic
en_45	Old antenna engineers never die, they just phase away.	homophonic	homophonic
en_6639	The dieters vowed to let nothing go to waist.	homophonic	homophonic
en_2985	I went and saw the Hobbit, it put a Smaug look on my face.	homophonic	homophonic
en_1254	I won't tell you anything about my salivary glands, he said secretively.	homophonic	homophonic
en_4031	Well drilling is a deep subject.	homographic	homographic
en_3804	When the creator of Tarzan wrote about Pellucidar and other Earth-core stories, was it Edgar Rice burrows?	homophonic	homophonic
en_6413	I'm a sap for tree jokes.	homographic	homophonic
en_4619	A baseball pitcher asked if he had a good curve ball, but wanted a straight answer.	homographic	homographic
en_3251	There was a lot of equestrian paraphernalia at the bridle shower.	homophonic	homographic
en_7757	The fine print is usually a clause for suspicion.	homophonic	homophonic
en_4269	Edison thought it would be an illuminating experience.	homographic	homographic
en_5983	The stress of having his beloved pet bunny die caused a man to go bald. He was very upset about losing his hare.	homophonic	homophonic
en_7202	For the woman who wore size 13, finding shoes that fit was no small feat.	homophonic	homophonic
en_4112	I went to the theatre, it looked a bit suspicious. I reckon the whole thing was staged.	homophonic	homographic
en_2508	She was only a Insurance broker's daughter, but all the guys liked her policy.	homographic	homophonic
en_935	Our bikinis are exciting. They are simply the tops.	homographic	homographic
en_8339	When cave men got together they formed clubs.	homographic	homographic
en_1355	I teach at a university, he professed.	homophonic	homographic
en_3043	Here is how the track meet is going to run...	homographic	homographic
en_6198	Sign on an electrician's truck: Let us remove your shorts.	homographic	homographic
en_3286	The Keystone Kops were frequently criticized for excessive use of farce.	homophonic	homophonic
en_6134	The door's ajar, he said openly.	homophonic	homophonic
en_7196	When crazy glue was invented lots of people became attached to it.	homographic	homographic
