id_en	pun_word	pun_word_translated	alternative_word	alternative_translated	target_lang	polygon_level	translation_error	meaning1_used	meaning2_used	translation_strategy
en_1181	uprooted	déraciner	uprooted	déracinées	fr	4		uprooted | die | uproot | deracinate | eradicate | extirpate | rootout	uprooted | uproot | deracinate | eradicate | extirpate | rootout | die	low_polygon_4
en_6244	passion	passions	passion	passion	fr	4		passion | more | interest | passionateness | heat | warmth | rage | mania	passion | passionateness | heat | warmth | rage | mania | more | interest	low_polygon_4
en_6734	blowup	explosions	blowup	explosion	fr	4		blowup | convention | ended | explosion | detonation | effusion | gush | outburst	blowup | explosion | detonation | effusion | gush | outburst | convention | ended	low_polygon_4
en_4012	heart	substance	heart	coeur	fr	4		heart | locket | wanted | bosom | pump | ticker | mettle | nerve	heart | bosom | pump | ticker | mettle | nerve | locket | wanted	low_polygon_4
en_2955	derangements	dérangement	derangements	Dérangements	fr	4		derangements | florist | created | many | flower | derangement | mentalunsoundness | unbalance | upset | overthrow	derangements | derangement | mentalunsoundness | unbalance | upset | overthrow | florist | created | many | flower	low_polygon_4
en_5771	mourning	lamentation	mourning	deuil	fr	4		mourning | not | person | bereavement | lamentation | mourn | bereaved | bereft	mourning | bereavement | lamentation | mourn | bereaved | bereft | not | person	low_polygon_4
en_442	pine	pine	pyne	Pyne	fr	4		pine | never | die | away | pinetree | truepine | ache | yearn | yen	pyne | old | tree | surgeons | never	low_polygon_4
en_2198	justification	justifications	justification	Justification	fr	4		justification | margins | said | without	justification | margins | said | without	low_polygon_4
en_7282	chin	lift	chinh	Chine	fr	4		chin | balls | bounce | off | mentum | kuki | kuki-chin | chinup	chinh | balls | bounce | off	low_polygon_4
en_1883	pop	pop	pop	pop	fr	4		pop | called | balloons | sings | music | dad | dada | daddy | papa | pappa	pop | dad | dada | daddy | papa | pappa | called | balloons | sings | music	low_polygon_4
en_5167	evilly	maléfique	eiffel	Eiffel	fr	4		evilly | adam | tonight | said | wickedly	eiffel | alexandregustaveeiffel | i'll | tempt | adam | tonight	low_polygon_4
en_7383	queue	file d'attente	cue	Cue	fr	4		queue | get | back | next | waitingline | lineup | queueup	cue | clue | clew | discriminativestimulus | cuestick | poolcue | doctor | keep | thinking	low_polygon_4
en_2942	brail	brail	broil	poulet	fr	4		brail | hope | someone | would | out	broil | broiling | grilling | ovenbroil | bake | even | though | ashley | blind	low_polygon_4
en_4682	gas	flatulence	gass	gaz	fr	4		gas | embarrassed | gaseousstate | gasoline | gasolene | petrol | flatulence	gass | gas | gaseousstate | gasoline | gasolene | petrol | embarrassed	low_polygon_4
en_2851	cut	couper	cut	coupé	fr	4		cut | manufacture | scissors | didn't | gash | slash | slice | cutofmeat	cut | gash | slash | slice | cutofmeat | manufacture | scissors | didn't	low_polygon_4
en_2260	bass	basses	bass	basse	fr	4		bass | men | left | basspart | basso | seabass | freshwaterbass | bassvoice	bass | basspart | basso | seabass | freshwaterbass | bassvoice | men | left	low_polygon_4
en_4463	spirits	drink	spirits	spiritueux	fr	4		spirits | lose | liquor | booze | harddrink | hardliquor | johnbarleycorn	spirits | liquor | booze | harddrink | hardliquor | johnbarleycorn | lose	low_polygon_4
en_652	tee	tees	tea	thé	fr	4		tee | beverage | dropped | cart | path | teeingground | footballtee | golftee | teeup	tea | afternoontea | teatime | camelliasinensis | tealeaf | golfer | finished | drinking | iced	low_polygon_4
en_4077	cold	cold	cold	froid	fr	4		cold | die | commoncold | coldness | lowtemperature | frigidity | frigidness	cold | commoncold | coldness | lowtemperature | frigidity | frigidness | die	low_polygon_4
en_2144	concentration	concentrations	concentration	concentration	fr	4		concentration | factory | lack | density | denseness | tightness | compactness | engrossment	concentration | density | denseness | tightness | compactness | engrossment | factory | lack	low_polygon_4
en_6913	too	aussi	two	deux	fr	4		too | large | circumference | much | excessively | overly | toafault | besides | also	two | deuce | get | large | circumference | much	low_polygon_4
en_3396	ash	cendre	asch	frêne	fr	4		ash | careless | pyromaniac | made | himself | ashtree	asch | sholemasch | shalomasch | sholomasch | careless | pyromaniac | made | ash	low_polygon_4
en_1256	ambiguity	locution	ambiguity	ambiguïté	fr	4		ambiguity | degree | there | equivocalness	ambiguity | equivocalness | degree | there	low_polygon_4
en_6343	tips	conseil	tips	Conseils	fr	4		tips | life | live | off | tip | gratuity | pourboire | baksheesh | bakshish	tips | tip | gratuity | pourboire | baksheesh | bakshish | life | live | off	low_polygon_4
en_2410	guessed	deviner	guest	invité	fr	4		guessed | company's | coming | think | opine | suppose | imagine | reckon	guest | invitee | edgarguest | edgaralbertguest | node | client | company's | coming | guessed	low_polygon_4
en_6914	pier	pier	peer	pair	fr	4		pier | dock | floating | above | water | wharf | wharfage	peer | equal | match | compeer | keeps | dock | floating | above	low_polygon_4
en_2977	false	scythe	false	faux	fr	4		false | will | mistaken | delusive | fake | faux | imitation	false | mistaken | delusive | fake | faux | imitation | will	low_polygon_4
en_3195	monotonously	drone	monotonously	monotones	fr	4		monotonously | half | fixed | said	monotonously | half | fixed | said	low_polygon_4
en_7219	hilariously	drôlement	hilariously	drôlement	fr	4		hilariously | mount | everest | said | uproariously	hilariously | uproariously | mount | everest | said	low_polygon_4
en_2740	cut	couper	cut	coupé	fr	4		cut | shared | gash | slash | slice | cutofmeat	cut | gash | slash | slice | cutofmeat | shared	low_polygon_4
en_3189	chain	ligament	chain	chaîne	fr	4		chain | leash | store | concatenation | chemicalchain	chain | concatenation | chemicalchain | leash | store	low_polygon_4
en_6140	bough	tout	bow	arc	fr	4		bough | take | final	bow | bowknot | fore | prow | stem | arc | old | tree | surgeons | never	low_polygon_4
en_6532	buffaloed	bufflé	bevelled	biseautés	fr	4		buffaloed | bison | police | completely | buffalo	bevelled | bevel | chamfer | case | disappearing | bison | police	low_polygon_4
en_4520	react	riposte	racked	rackés	fr	4		react | fail | respond | oppose	racked | single-foot | rack | extort | squeeze | gouge | old | chemists | never | die	low_polygon_4
en_1399	boot	démarrages	boot	démarrage	fr	4		boot | given | bang | charge | rush | flush | thrill	boot | bang | charge | rush | flush | thrill | given	low_polygon_4
en_2010	hollered	heurlés	hillard	de la colline	fr	4		hollered | feel | empty | inside | holler | hollerout | shout | shoutout | cry	hillard | feel | empty | inside	low_polygon_4
en_6330	friezing	frite	freezing	congélation	fr	4		friezing | triglyph | commented | it's | here	freezing | freeze | stopdead | suspend | triglyph | commented | it's | friezing	low_polygon_4
en_2024	machine	machines	machine	machine	fr	4		machine | check | ekg | simplemachine | politicalmachine | car | auto | automobile	machine | simplemachine | politicalmachine | car | auto | automobile | check | ekg	low_polygon_4
en_7096	interest	intérêt	interest	intérêts	fr	4		interest | conflict | involvement | sake | interestingness | stake | interestgroup	interest | involvement | sake | interestingness | stake | interestgroup | conflict	low_polygon_4
en_215	toad	crapauds	toed	orteil	fr	4		toad | car | frog | toadfrog | anuran | batrachian | salientian	toed | toe | toenail | mud | car | toad	low_polygon_4
en_389	hops	hop	hops	houblon	fr	4		hops | lot | hop | recordhop | skip | hop-skip	hops | hop | recordhop | skip | hop-skip | lot	low_polygon_4
en_2329	feints	féminité	fiends	Fils	fr	4		feints | one | usual | feint	fiends | monster | fiend | devil | demon | ogre | i'd | really | like | know	low_polygon_4
en_4342	heavily	fortissimo	heavily	forte	fr	4		heavily | thirty | pounds | said | toagreatextent | heavy	heavily | toagreatextent | heavy | thirty | pounds | said	low_polygon_4
en_45	phase	phases	faze	Faze	fr	4		phase | never | die | away | stage | form | phaseangle	faze | unnerve | enervate | unsettle | old | antenna | engineers | never	low_polygon_4
en_6639	waist	portion	waste	déchets	fr	4		waist | let | nothing | waistline | shank	waste | wastematerial | wastematter | wasteproduct | wastefulness | dissipation | dieters | vowed | let | nothing	low_polygon_4
en_2985	smaug	smaug	smack	Smack	fr	4		smaug | hobbit | put | look | face	smack | slap | relish | flavor | flavour | sapidity | hobbit | put | smaug | look	low_polygon_4
en_1254	secretively	secrètement	secretively	secrètement	fr	4		secretively | salivary | glands | said	secretively | salivary | glands | said	low_polygon_4
en_4031	deep	profondes	deep	profonde	fr	4		deep | well | drilling | subject | trench | oceanicabyss	deep | trench | oceanicabyss | well | drilling | subject	low_polygon_4
en_3804	burrows	les terriers	burros	burros	fr	4		burrows | edgar | rice | burrow | tunnel	burros | burro | creator | tarzan | wrote | pellucidar	low_polygon_4
en_6413	tree	chicot	trey	Trey	fr	4		tree | i'm | sap | jokes | treediagram | sirherbertbeerbohmtree | corner	trey | three | iii | trio | threesome | tierce | i'm | sap | tree | jokes	low_polygon_4
en_4619	straight	direct	straight	droit	fr	4		straight | ball | wanted | answer | heterosexual | heterosexualperson | straightperson | straightaway | consecutive	straight | heterosexual | heterosexualperson | straightperson | straightaway | consecutive | ball | wanted | answer	low_polygon_4
en_3251	bridle	bride	bridle	bride	fr	4		bridle | equestrian | paraphernalia | shower | check | curb	bridle | check | curb | equestrian | paraphernalia | shower	low_polygon_4
en_7757	clause	clauses	claws	griffes	fr	4		clause | print | usually | suspicion | article	claws | claw | hook | chela | nipper | pincer | fine | print | usually | clause	low_polygon_4
en_4269	illuminating	éclairants	illuminating	éclairant	fr	4		illuminating | would | experience | light | illume | illumine | lightup | illuminate	illuminating | light | illume | illumine | lightup | illuminate | would | experience	low_polygon_4
en_5983	hare	hare	hair	cheveux	fr	4		hare | upset | losing | rabbit	hair | hair's-breadth | hairsbreadth | whisker | fuzz | tomentum | pet | bunny | die | caused	low_polygon_4
en_7202	feat	un exploit	feet	pieds	fr	4		feat | fit | small | effort | exploit	feet | foot | humanfoot | pes | animalfoot | foundation | woman | wore | size | finding	low_polygon_4
en_4112	staged	mise en scène	staged	mise en scène	fr	4		staged | whole | thing | stage | present | represent | arrange | stag	staged | stage | present | represent | arrange | stag | whole | thing	low_polygon_4
en_2508	policy	politique générale	palace	palais	fr	4		policy | guys | liked | insurancepolicy | insurance	palace | castle | only | insurance | broker's | daughter	low_polygon_4
en_935	tops	haut	tops	haut	fr	4		tops | simply | top | topside | upperside | upside | peak	tops | top | topside | upperside | upside | peak | simply	low_polygon_4
en_8339	clubs	club	clubs	clubs	fr	4		clubs | got | together | formed | baseballclub | ballclub | club | nine | socialclub	clubs | baseballclub | ballclub | club | nine | socialclub | got | together | formed	low_polygon_4
en_1355	professed	professent	professed	professe	fr	4		professed | university | profess | concede | confess	professed | profess | concede | confess | university	low_polygon_4
en_3043	run	pitch	run	lancer	fr	4		run | meet | going | tally | test | trial | footrace | streak	run | tally | test | trial | footrace | streak | meet | going	low_polygon_4
en_6198	shorts	shorts	shorts	short	fr	4		shorts | let | remove | shortpants | trunks | drawers | underdrawers | boxers	shorts | shortpants | trunks | drawers | underdrawers | boxers | let | remove	low_polygon_4
en_3286	farce	concoction	forse	Sans objet	fr	4		farce | excessive | use | farcecomedy | travesty | forcemeat | stuff	forse | kops | frequently | criticized | excessive	low_polygon_4
en_6134	openly	ouvertement	openly	ouvertement	fr	4		openly | door's | ajar | said	openly | door's | ajar | said	low_polygon_4
en_7196	attached	jointes	attached	jointe	fr	4		attached | lots | people | became | attach | bind | tie | bond | impound	attached | attach | bind | tie | bond | impound | lots | people | became	low_polygon_4
