id_en	text_clean	manual_location	manual_type	manual_alternative
en_1282	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	galleon	homophonic	gallon
en_1283	Some resist having the'flu jab but it's quite innocuous.	innocuous	homophonic	inoculate
en_1294	Pretend we were in the days before railways, he coached.	coached	homophonic	coach
en_1303	Old principals never die they just lose their faculties.	faculties	homographic	faculties
en_1305	Old railroaders never die, they just derail.	derail	homographic	derail
en_1310	He bought a plate with four corners so he could have a square meal.	square	homographic	square
en_1330	Because they moved into an apartment, they didn't need to cut the grass any mow.	mow	homophonic	more
en_1335	Gravity, it's always putting everyone down.	putting	homographic	putting
en_1345	The scorpion said to the desert, 'You know, our conversations are always so dry.'	dry	homographic	dry
en_1347	A busy barber is quite harried.	harried	homophonic	hairy
en_1349	The gunman took a shot at new opportunities.	shot	homographic	shot
en_135	The cobbler was asked how many shoes he had soled by a well	soled	homophonic	sold
en_1350	Legends tell us that a weakness of the carnivorous vampire is a steak.	steak	homophonic	stake
en_1354	To become a pilot requires a good altitude.	altitude	homophonic	attitude
en_1355	I teach at a university, he professed.	professed	homophonic	professor
en_136	When there's a sale on tennis balls it's first come first serve.	serve	homographic	serve
en_1360	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	shocking	homographic	shocking
en_1364	From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident.	occident	homophonic	accident
en_1368	When making butter there is little margarine for error.	margarine	homophonic	margin
en_1370	Old chemists never die, they just stop reacting.	reacting	homographic	reacting
en_1373	The model who joined the air force was a bombshell.	bombshell	homographic	bombshell
en_1376	Abstinence makes the heart grow fonder	abstinence	homophonic	absence 
en_1378	It's not that the man did not know how to juggle, he just didn't have the balls to do it.	balls	homographic	balls
en_1382	Two coin collectors got together for old dimes sake.	dimes	homophonic	times
en_1383	It's an actual parameter, not a formal parameter, was his argument.	argument	homographic	argument
en_1386	3.14159265, he said piously.	piously	homophonic	pi
en_1388	An astronomy column in the newspaper would have a lot of space devoted to it.	space	homographic	space
en_1399	Old shoemakers never die, they are just given the boot.	boot	homographic	boot
en_14	One of these new shoes isn't right.	right	homographic	right
en_140	The postmen get together for mail bonding.	mail	homophonic	male
en_1400	Let's take a vacation in the south of France, he said nicely.	nicely	homophonic	Nice
en_1404	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.	pullet	homophonic	bullet
en_1415	Even though Catholics in space are weightless, do they have mass?	mass	homographic	mass
en_1418	Old telephone operators never die, they just become disconnected.	disconnected	homographic	disconnected
en_1419	A guy became so good with a chainsaw that he was promoted to branch manager.	branch	homographic	branch
en_1421	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'	iris	homophonic	irish
en_1427	Old math profs never die. They just use strange expressions.	expressions	homographic	expressions
en_143	Q: River Ravi flows in which state? A: Liquid.	state	homographic	state
en_1432	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.	torrance	homophonic	torrents
en_1436	Wow, thanks for the tea. I'm glad I got to Chai it.	Chai	homophonic	try
en_1440	After he invented the light bulb, people saw Edison in a new light.	light	homographic	light
en_1446	A bee keeper will sell you honey with swarm wishes.	swarm	homophonic	warm
en_1448	An architect knows how to make a long storey short.	storey	homophonic	story
en_1449	Old electricians never die, they just can't make connections	connections	homographic	connections
en_1464	Boy, that's a bright star, he said seriously.	seriously	homophonic	sirius
en_1467	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.	mine	homophonic	mind
en_1468	Freud could barely repress his excitement.	repress	homophonic	suppress
en_1475	Old miners never die, they just lose their veins.	veins	homophonic	vains
en_1485	If you think that mutt made strange sounds as a pup, you should hear him grown.	grown	homophonic	groan
en_149	If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief.	relief	homographic	relief
en_1494	Some cardiologists are heartless.	heartless	homographic	heartless
en_1509	The triangular computer monitor business was just a big pyramid screen.	screen	homophonic	scheme
en_1515	Old pickpockets never die, they just steal away.	steal	homographic	steal
en_1524	Old key punch operators never die they just punch out.	punch	homographic	punch
en_1528	Once ice cream was invented the problem was licked.	licked	homographic	licked
en_1531	I'm mentioned in this book, he said contentedly.	contentedly	homophonic	content
en_1533	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.	puzzle	homographic	puzzle
en_1534	The thief broke into the music store and stole the lute.	lute	homophonic	loot
en_1536	The trampoline was on sale for fifty per cent off. Needless to say I jumped on the offer.	jumped	homographic	jumped
en_1539	Chickens can give some people a foul rash.	foul	homophonic	fowl
en_1547	Herbivores come in browns and graze.	graze	homophonic	greys
en_1548	I wanted to bring a penguin home but my parents said that wasn't going to fly.	fly	homographic	fly
en_1551	Some mathematicians are reluctant to cosine a loan.	cosine	homophonic	cosign
en_1553	A parade of horses went down Mane street.	mane	homophonic	main
en_156	A new type of broom came out, it is sweeping the nation.	sweeping	homographic	sweeping
en_157	My name is Bea. I'm in the honey business..	bea	homophonic	bee
en_1572	I always believed my body was a prison for me. I was right, in biology I learnt they were made of cells.	cells	homographic	cells
en_1573	During his lifetime, the composer Bach was a noted success.	noted	homographic	noted
en_1575	I've mailed the letter, he assented.	assented	homophonic	sent
en_1579	When a priest makes a mistake in church it's a clerical error.	clerical	homographic	clerical
en_1585	Two cooks had a contest and the heat was on.	heat	homographic	heat
en_1587	Careless stair dancers are heading for a heavy landing.	landing	homographic	landing
en_1598	A crow in a telephone booth had no money so he had to make a collect caw.	caw	homophonic	call
en_1599	Two astronauts who were dating put an end to it because they both needed their space.	space	homographic	space
en_160	Take me to the dance, he bawled.	bawled	homophonic	ball
en_1611	The pistol of a flower is its only protections against insects.	pistol	homophonic	pistil
en_1615	If you eat soup that's nine days old you will get bad broth.	broth	homophonic	breath
en_1621	The race dogs got a bad case of the fleas-they had to be scratched.	scratched	homographic	scratched
en_1622	I made a batch of fish eye soup, it should see me through the week.	see	homographic	see
en_1626	Arriving late, Senator Kennedy slipped on a banana peel and fell in a heap, resulting in a humerus break in the midst of the subcommittee's intense discussion.	humerus	homophonic	humorous
en_1644	I started to work at a seafood buffet, but then I pulled a mussel.	mussel	homophonic	muscle
en_1647	A boiled egg in the morning is hard to beat.	beat	homographic	beat
en_1649	Swimmers have to be careful not to get into deep trouble.	deep	homographic	deep
en_1660	The self-conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer.	compliment	homophonic	complement
en_1669	Patience is a virtue heavy in wait	wait	homophonic	weight
en_167	We don’t read palms; we wave them.	palms	homographic	palms
en_1672	The boating store had its best sail ever.	sail	homophonic	sale
en_1674	Europe needs more self-restraint, he said continently.	continently	homophonic	continent
en_1688	Old bankers never die they just lose interest.	interest	homographic	interest
en_169	Sometimes a pregnancy is so long it seems like a maternity.	maternity	homophonic	eternity
en_1701	She was only a Fireman's daughter, but she's really going to blazes.	blazes	homographic	blazes
en_1705	A discussion of digging a new mine shaft was too deep for him.	deep	homographic	deep
en_1711	If you're looking for oranges on an apple tree you will have a fruitless search.	fruitless	homographic	fruitless
en_1716	When bottled water is cheap it's called a liquidation sale.	liquidation	homophonic	liquid
en_1721	Old gardeners never die, they just get uprooted.	uprooted	homographic	uprooted
en_1722	The satellite went into orbit on January 1st causing a new year's revolution.	revolution	homophonic	resolution
en_1724	Practice safe eating – always use condiments.	condiments	homophonic	condoms
en_1726	Wal-Mart isn't the only saving place!	saving	homographic	saving
en_1727	I went out for a run this morning and tripped over, I could have been wearing the wrong size shoes, I haven't seen the footage yet.	footage	homophonic	foot
en_1733	Some people don't have the Vegas idea of how to quit gambling.	vegas	homophonic	vaguest
en_1739	Those who make sponges get very absorbed in their work.	absorbed	homographic	absorbed
en_178	In times like these the value of Chinese currency should make Americans pay attention. Instead, too many of us just yuan.	yuan	homophonic	yawn
en_1783	The mushroom is a vegetable of high morel standing.	morel	homophonic	moral
en_1788	She became an art dealer because she wanted more Monet.	monet	homophonic	money
en_1794	She was only a Pitcher's daughter, but you should have seen her curves.	curves	homographic	curves
en_1796	I saw a beaver movie last night, it was the best dam movie I've ever seen.	dam	homophonic	damn
en_1807	I've stuck a pin through my nose, he said punctually.	punctually	homophonic	puncture
en_1819	Have you seen my collection of ancient Chinese artifacts? he asked charmingly.	charmingly	homophonic	charm
en_1826	That makes 144, he said, grossly.	grossly	homophonic	gross
en_1835	Two brothers collaborated on haunted stories, but one was a ghost writer.	ghost	homographic	ghost
en_1839	The inept mathematician couldn't count on his friends.	count	homographic	count
en_1849	Those who have icicles keep a stiff upper drip.	drip	homophonic	lip
en_1850	If you want those ashes, you'll have to urn them.	urn	homophonic	earn
en_186	I fought with Geronimo, he said bravely.	bravely	homophonic	brave
en_1865	The bargain store promised a free abacus with every purchase, but I wouldn't count on it.	count	homographic	count
en_187	Now I can do some painting, he said easily.	easily	homophonic	easil
en_1877	Would you like some soda in your whiskey? he asked caustically.	caustically	homophonic	caustic
en_1883	A group called the Balloons sings pop music.	pop	homographic	pop
en_1895	My friend gave me a book about puns for my birthday and I loved it. It was two meaningful.	two	homophonic	too
en_1898	Did you hear about the new pinata? It's a huge hit.	hit	homographic	hit
en_1906	A lingerie thief gave a police officer the slip.	slip	homographic	slip
en_191	His wife left him saying she was going home to mutter.	mutter	homophonic	mother
en_1914	You resemble a goat, he said satirically.	satirically	homophonic	satyr
en_1926	Did you hear about the father that was difficult to see? He was transparent.	transparent	homographic	transparent
en_1927	Jesus changes grave situations. Happy Easter.	grave	homographic	grave
en_1929	A wig van blew up on the motorway-police are combing the area.	combing	homographic	combing
en_1931	To emphasize that someone is a stranger: "As we used to say in the cheese industry, I don't know him from Edam."	edam	homophonic	Adam
en_1940	Partying Saturday and Sunday leaves me feeling weakened.	weakened	homophonic	weekend
en_1943	Safety goggles were invented by a peripheral visionary.	visionary	homophonic	vision
en_1951	Waiter, there's a fly in my soup! "Force of habit, sir, the chef used to be a tailor.	fly	homographic	fly
en_1953	Have an optometrist run for president, because they are people of vision.	vision	homographic	vision
en_1954	The Net-surfing bandits always ended an operation by clearing out the cash.	cash	homophonic	cache
en_1955	If you walk along a railroad track you may soon feel run down.	run	homographic	run
en_1959	A man stole a case of soap from the corner store. The police said he made a clean getaway.	clean	homographic	clean
en_1960	My advanced geometry class is full of squares.	squares	homographic	squares
en_1969	He had a difficult time bouncing back from his bungee cord accident.	bouncing	homographic	bouncing
en_1972	A teacher having a tough time longs for the end of the school daze.	daze	homophonic	days
en_1980	The rabbi became a professional golfer because he was good at making the cut.	cut	homographic	cut
en_200	When poker players have to fold they feel a bit discarded.	discarded	homographic	discarded
en_2004	I'll take that, he said appropriately.	appropriately	homophonic	appropriate
en_2007	Old janitors never die they just get swept up.	swept	homographic	swept
en_2010	I feel empty inside, he hollered.	hollered	homophonic	hole
en_2014	Doctor, Doctor, you've got to help me. I think I'm a kleptomaniac.-Don't worry. I think there's something you can take for that. Next.	take	homographic	take
en_2018	Badminton players are for the birds.	birds	homophonic	birdies
en_2020	A good carpenter will do his work and then varnish without a trace.	varnish	homophonic	vanish
en_2024	The Biomedical Engineer didn't have the heart to check the EKG machine.	heart	homographic	heart
en_2027	The dance club opened to rave reviews.	rave	homographic	rave
en_204	50 Shades of Grace	grace	homophonic	gray
en_2045	My name is Matt. I'm a doorman.	matt	homophonic	mat
en_2050	It's hard for a depressed turtle to get out of his shell.	shell	homographic	shell
en_2052	Old bakers never die, they just keep making lots of dough.	dough	homographic	dough
en_2058	Old lawyers never die they just lose their judgment.	judgment	homographic	judgment
en_2061	A cowboy who was also an artist could draw fast.	draw	homographic	draw
en_2064	Marconi was not wired up about going.	wired	homographic	wired
en_207	Plenty of people give the lord credit. Few give him cash.	credit	homographic	credit
en_2070	He tried to sell me glass with imperfections in it, but I saw through it.	saw	homographic	saw
en_208	Old pilots never die they just go to a higher plane.	plane	homophonic	place
en_2089	Are Philosophy papers graded with Marx out of ten?	marx	homophonic	marks
en_2093	Old coupon clippers never die, they just expire.	expire	homographic	expire
en_2097	A basketball player couldn't control his saliva but he could sure dribble.	dribble	homographic	dribble
en_2103	The pun in the title of the play "The Importance of Being Earnest" was a Wilde idea.	wilde	homophonic	wild
en_2104	Because the champion angler instructed his pupils to cast their lines where the river runs through narrow chasms, they called him the "fissure King."	fissure	homophonic	fisher
en_2109	Old lumberjacks never die, they just pine away.	pine	homographic	pine
en_2111	Dermatologists often make rash statements.	rash	homographic	rash
en_2117	An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation.	gravity	homographic	gravity
en_2123	These bit patterns will be more readable in groups of 8, he said bitingly.	bit	homophonic	bitingly
en_2136	Building a cul-de-sac would be a bit of a dead-end job.	dead	homographic	dead
en_2144	There was a guy who was fired from the orange juice factory for lack of concentration.	concentration	homophonic	concentrate
en_2145	Animals that tunnel in the soil have to have an escape root.	root	homophonic	route
en_215	When it got stuck in the mud my car had to be toad.	toad	homophonic	towed
en_2154	The new father of quintuplets could hardly believe his own census.	census	homophonic	senses
en_2169	What did the skeleton have for supper? Ribs.	ribs	homographic	ribs
en_217	If all your troubles are melting away watch out for the floods.	melting	homographic	melting
en_2175	There was a report of shots fired in a local bar. The police don't know what triggered the commotion.	triggered	homographic	triggered
en_2180	Sign at a place where you lose weight: 'Stop Look and Lessen'.	lessen	homophonic	listen
en_2181	A mathematician that couldn't stop adding up recently went incremental.	incremental	homophonic	mental
en_2183	Scientists allow us to see the sun in a different light.	light	homographic	light
en_2187	Changing a tire on that crazy Houston freeway was a wrenching experience.	wrenching	homographic	wrenching
en_2194	It's just gold leaf, he said guiltily.	guiltily	homophonic	gilt
en_2197	When a problem or dilemma arises: "As plumbers say, it's not drain surgery."	drain	homophonic	brain
en_2198	I like ragged margins, he said without justification.	justification	homographic	justification
en_2200	Doctor, doctor, I keep thinking I'm a spoon.-Sit there and don't stir. Next.	stir	homographic	stir
en_2212	I bought me some of those new paper shirts. I don't like them-they're tearable.	tearable	homophonic	terrible
en_2217	I presented my case to the judge, he said briefly.	briefly	homophonic	brief
en_2235	It was raining cats and dogs. There were poodles all over the road.	poodles	homophonic	puddles
en_224	I've an urgent appointment, he said in Russian.	russian	homophonic	rushing
en_2248	Have you ever read the Rime of the Ancient Gardener? It was written by Samuel Taylor Foliage.	foliage	homophonic	coleridge
en_2254	Superglue! he rejoined.	rejoined	homographic	rejoined
en_2260	After the sniper attack at the symphony softball game, there were no men left on bass.	bass	homophonic	base
en_2262	Truckers like houses with long haulways.	haulways	homophonic	hallways
en_2296	If you operate a drill press you have a boring job.	boring	homographic	boring
en_231	Sign in an electrician's shop: 'We will refuse you.'	refuse	homographic	refuse
en_2317	Please mix me a martini, he said, dryly.	dryly	homophonic	dry
en_2320	Teacher: In this box, I have a 10-foot snake. Sammy: You can't fool me, Teacher... snakes don't have feet.	foot	homographic	foot
en_2322	For class schedules Yoga instructors are flexible.	flexible	homographic	flexible
en_2324	Erasable pens were a good idea on paper.	paper	homographic	paper
en_2329	I'd really like to know whether her collapse was due to a serious illness or whether it was one of her usual feints.	feints	homophonic	faints
en_2334	The nudist defended himself by citing his Constitutional right to bare arms.	bare	homophonic	bear
en_2337	It's my personal magnetism, he said ironically.	ironically	homographic	ironically
en_2340	My name is Gene, I'm a DNA researcher.	gene	homographic	gene
en_2344	My two uncles bet who would get married first. Then one upped the ante.	ante	homophonic	auntie
en_2359	The plumber had to quit his job because it was too much of a drain.	drain	homographic	drain
en_2361	My heart starts aiken when Clay sings.	aiken	homophonic	aching
en_2373	Admitting a mistake: "Like the orthopedist's patient, I stand corrected."	stand	homographic	stand
en_2385	Old mathematicians never die, they just go off on a tangent	tangent	homographic	tangent
en_2389	I've got to fix the automobile, he said mechanically.	mechanically	homographic	mechanically
en_24	With certain cashiers, things are slow to register.	register	homographic	register
en_2407	Saw makers losing money have to make lots of cuts.	cuts	homographic	cuts
en_2410	Company's coming, he guessed.	guessed	homophonic	guest
en_2424	She wanted the large estate quite badly but, she dared not mansion it to her frugal husband.	mansion	homophonic	mention
en_243	The politician is not one for Indian food. But he's good at currying favors.	currying	homophonic	curry
en_2433	What is the best store to be in during an earthquake? A stationery store.	stationery	homophonic	stationary
en_2449	Figure skaters don't like to be in a rut.	rut	homographic	rut
en_245	Old bungee jumpers sometimes die but they can still bounce back	bounce	homographic	bounce
en_2450	Elephants will toil all day, and they work for peanuts.	peanuts	homographic	peanuts
en_2452	Old gardeners never die they just vegetate.	vegetate	homographic	vegetate
en_2453	I like modern painting, he said abstractly.	abstractly	homographic	abstractly
en_2459	Finding area is an integral part of calculus.	integral	homographic	integral
en_246	Old pineapple growers never die, they just get on the dole.	dole	homographic	dole
en_2466	A pickle maker fell into one of the vats at work. At hospital it was determined he had a brine injury.	brine	homophonic	brain
en_2480	Why shouldn't I stir my coffee with a ballpoint pen? he bickered.	bickered	homophonic	bic
en_2486	The weather man said there won't be any rain for 6 months, but I drought it.	drought	homophonic	doubt
en_2491	I'm simply not a nice girl," she whispered tartly.	tartly	homographic	tartly
en_2493	I love your old worn-out jacket covered with all those slogans, but I can't read the frays at the end of the sleeves.	frays	homophonic	phrase
en_2496	A pediatrician is a doctor of little patients.	patients	homophonic	patience
en_2502	Old logicians never die, they just vacate the premises.	premises	homographic	premises
en_2508	She was only a Insurance broker's daughter, but all the guys liked her policy.	policy	homographic	policy
en_2513	On the old trains the engineer had a lot of esteem.	esteem	homophonic	steam
en_2514	Acupuncture is a jab well done.	jab	homophonic	job
en_2536	Traveling on a flying carpet is a rugged experience.	rugged	homophonic	rug
en_2539	Some people with a lot of vision started the Blind Institute.	vision	homographic	vision
en_2541	I need to go on a diet, he said wastefully.	wastefully	homophonic	waist
en_2548	I haven't had my photographs developed yet, he said negatively.	negatively	homographic	negatively
en_2549	What kind of flooring do alligator hunters use? Reptiles!	reptiles	homophonic	tiles
en_2550	My name is Sandy, I just hang around the beach.	sandy	homographic	sandy
en_2552	It is difficult to escape being a peasant because resistance is feudal.	feudal	homophonic	futile
en_2557	To a person who is attentive to minutiae: "You're certainly observant, even if you're not religious."	religious	homographic	religious
en_2563	Bakers have a great knead to make bread.	knead	homophonic	need
en_2565	How long will I have to wait for a table? he asked without reservation.	reservation	homographic	reservation
en_2566	Never invest in funerals, it's a dying industry.	dying	homographic	dying
en_2570	My neighbor's sprinkler is a constant irrigation to me.	irrigation	homophonic	irritation
en_2578	The first duck wouldn't go in the water. The other duck said "What are you, chicken?".	chicken	homographic	chicken
en_258	Diets are for people who are thick and tired of it all.	thick	homophonic	sick
en_2585	When asked whether or not I was bilingual, I was about to say I knew sign language, but I figured it was sort of a mute point.	mute	homophonic	moot
en_2595	My name is Clarence, I specialize in end-of-season inventory closeout sales.	Clarence	homophonic	clearance
en_2602	Smaller babies may be delivered by stork but the heavier ones need a crane.	crane	homographic	crane
en_2606	When priests have a good idea they are supposed to parish the thought.	parish	homophonic	perish
en_2614	Old moonshiners never die, they just keep still.	still	homographic	still
en_2616	Shopaholics never die, they just sale away.	sale	homophonic	sail
en_262	The mad scientist in the old castle had a strange secret – but he kept it under his bat.	bat	homophonic	hat
en_2622	Old train engineers never die, they just get derailed.	derailed	homographic	derailed
en_2626	After getting pranked by his friends and getting hit with a basket, Aron knew they had a wickerd sense of humour.	wickerd	homophonic	wicked
en_2630	Early nuclear experimenters discovered an element of surprise.	element	homographic	element
en_2632	When some coins fell into the batter it turned out to be a rich cake.	rich	homographic	rich
en_2651	The math teacher was a good dancer-he had algorithm.	algorithm	homophonic	a good rythm
en_2662	There was a sign on the lawn at a drug re-hab center that said 'Keep off the Grass'.	grass	homographic	grass
en_2664	Old bread men never die, they just lose their dough.	dough	homographic	dough
en_2665	Old pyromaniacs never die, they just lose their spark	spark	homographic	spark
en_2666	Two mining companies merged and became alloys.	alloys	homophonic	allies
en_2667	My friend came around for dinner. We ate for 20 minutes, then he fainted again.	came	homographic	came
en_2676	People who make necklaces may get beady eyes.	beady	homophonic	bead
en_2686	Victims of bad construction in the orient are 'bamboozled'.	bamboozled	homophonic	bamboo
en_2705	Whenever the nurses have a bad day they just keep needling people.	needling	homographic	needling
en_2712	His wife loved pottery making but for him it was just kiln time.	kiln	homophonic	killing
en_2714	Pray up in advance.	pray	homophonic	pay
en_2718	Old programmers never die, they just can't C as well.	c	homophonic	see
en_2719	Let's go to the gym and weight a while.	weight	homophonic	wait
en_2729	I went to prom with a broken leg. During the slow dances my date could tell that I had a crutch on her.	crutch	homophonic	crush
en_2735	Don’t let adversity get you down unless you are on your knees	down	homographic	down
en_2736	Old cartoonists never die, they just draw their last breath.	draw	homographic	draw
en_2739	For greeting card companies their fate is in the cards.	cards	homographic	cards
en_2740	He and his partner made knives, and they shared a cut.	cut	homographic	cut
en_2746	If you burn the candle on both ends, you’re not as bright as you think.	bright	homographic	bright
en_2747	Let's all play an A, a C sharp, and an E, his band cried with one accord.	accord	homophonic	chord
en_275	The swollen blood vessels in her legs were very quarrelsome-she had bellicose veins.	bellicose	homophonic	varicose
en_2752	Old magicians never die they just disappear.	disappear	homographic	disappear
en_2756	Missionaries like open hooded cars because they are convertible.	convertible	homographic	convertible
en_2757	A little boy fired his light-colored crayons because they wouldn't show up.	show	homographic	show
en_2767	Old farmers never die, they just turn into vegetables.	vegetables	homographic	vegetables
en_2774	My name is Hans. I'm a manicurist	hans	homophonic	hands
en_2779	Pavlov was drooling at the thought.	drooling	homographic	drooling
en_2780	The boy who got electrocuted was unable to give a statement because he was still shocked at the incident.	shocked	homographic	shocked
en_280	I deny everything, he said knowingly.	knowingly	homophonic	no
en_2805	The cat took up computer lessons in hopes of mastering its grip on a mouse.	mouse	homographic	mouse
en_2814	The study of ancient symbols will lead you to rune.	rune	homophonic	ruin
en_2820	If I let go of the ceiling it will collapse, he upheld.	upheld	homographic	upheld
en_2823	I learned that the antelopes were coming when I heard the gnus.	gnus	homophonic	news
en_2828	I'm burning aromatic substances, he said, incensed.	incensed	homophonic	incense
en_2829	The lumber company downsized. They got rid of the deadwood.	deadwood	homographic	deadwood
en_2832	A course offered to introduce French in five easy liaisons.	liaisons	homophonic	lessons
en_284	Old shoemakers never die, they just lose their sole.	sole	homophonic	soul
en_2840	Gunpowder was invented in a flash.	flash	homographic	flash
en_2842	Il se muove, said Galileo, movingly	movingly	homophonic	moving
en_2843	When I asked the man how he became a ditch-digger, he said he just fell into it.	fell	homographic	fell
en_2846	So that's the way the wind blows, he said vainly.	vainly	homophonic	vane
en_2851	His business plan to manufacture scissors just didn't cut it.	cut	homographic	cut
en_2852	If there's one person you don't want to interrupt in the middle of a sentence it's a judge.	sentence	homographic	sentence
en_2857	The calculus teacher tried to keep his students on task, but the class discussion kept going off on tangents.	tangents	homographic	tangents
en_286	Giving praise is when you let off esteem.	esteem	homophonic	steam
en_2868	If a dog was computer literate, would his bark be worse than his byte?	byte	homophonic	bite
en_2875	When the father found he had septuplets, he could hardly believe his own census.	census	homophonic	senses
en_2893	The best place for a mathematician is behind a counter.	counter	homographic	counter
en_2904	As to how to play snooker, some people don't have a cue.	cue	homophonic	clue
en_291	A cutlery manufacturing company was built at a fork in the road.	fork	homographic	fork
en_2910	One grasshopper told another about eating corn. It went in one ear and out the other.	ear	homographic	ear
en_2912	It's a lengthy article on Japanese Sword Fighters but I can Samurais it for you.	samurais	homophonic	summarize
en_2913	A good baker will rise to the occasion, it's the yeast he can do.	yeast	homophonic	least
en_2916	After Jimmy swallowed a live earthworm, he sat waiting with baited breath to see if he'd get sick.	baited	homophonic	bated
en_2923	A cross between a puppy and a bunny is a rabid dog.	rabid	homophonic	rabbit
en_2933	Fashion is something that goes in one era and out the other.	era	homophonic	ear
en_2942	Even though Ashley was blind and under arrest, she still had hope that someone would brail her out.	brail	homophonic	bail
en_2945	Cows make noise only when they're in the mood.	mood	homophonic	moo
