id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
en_1788	She became an art dealer because she wanted more Monet.	monet	homophonic	money	Monet	homophonic	['Claude Monet', 'French Impressionist painter', 'Post-Impressionist artist']	['money', 'cash', 'currency', 'funds', 'wealth', 'dough', 'bread']
en_1794	She was only a Pitcher's daughter, but you should have seen her curves.	curves	homographic	curves	curves	homographic	['spin', 'rotation', 'break', 'movement', 'pitch variation']	['figure', 'shape', 'contours', 'physique', 'silhouette']
en_1796	I saw a beaver movie last night, it was the best dam movie I've ever seen.	dam	homophonic	damn	dam	homophonic	['barrier', 'embankment', 'levee', 'dike', 'weir', 'beaver construction']	['damn', 'curse', 'darn', 'blast', 'hell']
en_1807	I've stuck a pin through my nose, he said punctually.	punctually	homophonic	puncture	punctually	homophonic	['on time', 'promptly', 'precisely', 'reliably']	['puncture', 'pierce', 'pin', 'prick', 'stab']
en_1819	Have you seen my collection of ancient Chinese artifacts? he asked charmingly.	charmingly	homophonic	charm	charmingly	homophonic	['attractively', 'engagingly', 'pleasantly', 'winningly', 'delightfully']	['China', 'chinaware', 'porcelain', 'ceramics', 'crockery']
en_1826	That makes 144, he said, grossly.	grossly	homophonic	gross	grossly	homographic	['excessively', 'enormously', 'flagrantly', 'outrageously']	['by the gross', 'in dozens of dozens', '144 units', 'in bulk']
en_1835	Two brothers collaborated on haunted stories, but one was a ghost writer.	ghost	homographic	ghost	ghost writer	homographic	['phantom author', 'spirit scribe', 'supernatural writer', 'specter penman']	['ghostwriter', 'uncredited author', 'anonymous collaborator', 'secret writer', 'behind-the-scenes author']
en_1839	The inept mathematician couldn't count on his friends.	count	homographic	count	count	homographic	['tally', 'enumerate', 'calculate', 'add up', 'number']	['rely', 'depend', 'trust', 'bank', 'lean']
en_1849	Those who have icicles keep a stiff upper drip.	drip	homophonic	lip	drip	homophonic	['drop', 'trickle', 'dribble', 'leak', 'seep']	['lip', 'mouth', 'composure', 'stiff upper lip', 'resolve']
en_1850	If you want those ashes, you'll have to urn them.	urn	homophonic	earn	urn	homophonic	['earn', 'deserve', 'merit', 'work for', 'gain']	['urn', 'vase', 'vessel', 'container', 'pot', 'cinerary urn']
en_186	I fought with Geronimo, he said bravely.	bravely	homophonic	brave	bravely	homographic	['courageously', 'boldly', 'fearlessly', 'valiantly', 'heroically']	['in the manner of a brave', 'like a Native American warrior', 'tribally', 'indigenously']
en_1865	The bargain store promised a free abacus with every purchase, but I wouldn't count on it.	count	homographic	count	count	homographic	['tally', 'enumerate', 'calculate', 'add up', 'reckon']	['rely', 'depend', 'trust', 'bank', 'bet']
en_187	Now I can do some painting, he said easily.	easily	homophonic	easil	easily	homophonic	['without difficulty', 'effortlessly', 'smoothly', 'readily']	['on an easel', 'on a stand', 'propped up', 'mounted']
en_1877	Would you like some soda in your whiskey? he asked caustically.	caustically	homophonic	caustic	caustically	homophonic	['sarcastically', 'bitingly', 'sharply', 'acerbically', 'mordantly']	['caustic soda', 'sodium hydroxide', 'lye', 'alkaline', 'corrosively']
en_1883	A group called the Balloons sings pop music.	pop	homographic	pop	pop	homographic	['popular', 'mainstream', 'chart-topping', 'commercial']	['burst', 'explode', 'bang', 'inflate']
en_1895	My friend gave me a book about puns for my birthday and I loved it. It was two meaningful.	two	homophonic	too	meaningful	homophonic	['significant', 'profound', 'deep', 'purposeful', 'substantial']	['too', 'also', 'additionally', 'as well', 'two', '2']
en_1898	Did you hear about the new pinata? It's a huge hit.	hit	homographic	hit	hit	homographic	['success', 'sensation', 'triumph', 'smash', 'winner']	['strike', 'blow', 'whack', 'smack', 'knock']
en_1906	A lingerie thief gave a police officer the slip.	slip	homographic	slip	slip	homographic	['escaped', 'fled', 'evaded', 'got away']	['negligee', 'undergarment', 'lingerie', 'chemise']
en_191	His wife left him saying she was going home to mutter.	mutter	homophonic	mother	mutter	homophonic	['mother', 'mom', 'mama', 'ma', 'mum']	['mumble', 'grumble', 'murmur', 'whisper', 'moan']
en_1914	You resemble a goat, he said satirically.	satirically	homophonic	satyr	satirically	homophonic	['mockingly', 'sarcastically', 'ironically', 'cynically']	['goat-like', 'capriciously', 'like a satyr', 'in the manner of a satyr']
en_1926	Did you hear about the father that was difficult to see? He was transparent.	transparent	homographic	transparent	transparent	homographic	['clear', 'see-through', 'translucent', 'diaphanous', 'pellucid']	['obvious', 'open', 'candid', 'honest', 'forthright', 'plain']
en_1927	Jesus changes grave situations. Happy Easter.	grave	homographic	grave	grave	homographic	['serious', 'critical', 'dire', 'severe', 'solemn']	['tomb', 'burial site', 'sepulcher', 'crypt', 'gravesite']
en_1929	A wig van blew up on the motorway-police are combing the area.	combing	homographic	combing	combing	homographic	['searching', 'scouring', 'sweeping', 'canvassing', 'investigating']	['brushing', 'styling', 'grooming', 'untangling', 'smoothing']
en_1931	To emphasize that someone is a stranger: "As we used to say in the cheese industry, I don't know him from Edam."	edam	homophonic	Adam	Edam	homophonic	['Edam', 'Dutch cheese', 'red-waxed cheese', 'mild cheese']	['Adam', 'man', 'first man', 'stranger', 'person']
en_1940	Partying Saturday and Sunday leaves me feeling weakened.	weakened	homophonic	weekend	weakened	homophonic	['tired', 'exhausted', 'drained', 'fatigued', 'worn out']	['weekend', 'Saturday and Sunday', 'days off', 'end of the week']
en_1943	Safety goggles were invented by a peripheral visionary.	visionary	homophonic	vision	peripheral	homographic	['side', 'lateral', 'outer', 'marginal', 'indirect']	['visionary', 'forward-thinking', 'innovative', 'pioneering', 'revolutionary']
en_1951	Waiter, there's a fly in my soup! "Force of habit, sir, the chef used to be a tailor.	fly	homographic	fly	habit	homographic	['custom', 'practice', 'routine', 'tendency', 'pattern']	['garment', 'clothing', 'outfit', 'dress', 'costume', 'attire']
en_1953	Have an optometrist run for president, because they are people of vision.	vision	homographic	vision	vision	homographic	['eyesight', 'sight', 'visual acuity', 'perception']	['foresight', 'insight', 'imagination', 'inspiration', 'aspiration']
en_1954	The Net-surfing bandits always ended an operation by clearing out the cash.	cash	homophonic	cache	Net	homographic	['internet', 'web', 'online', 'cyber']	['mesh', 'grid', 'trap', 'snare']
en_1955	If you walk along a railroad track you may soon feel run down.	run	homographic	run	run down	homographic	['exhausted', 'tired', 'weary', 'fatigued', 'drained']	['hit by a train', 'struck', 'knocked over', 'run over', 'trampled']
en_1959	A man stole a case of soap from the corner store. The police said he made a clean getaway.	clean	homographic	clean	clean	homographic	['tidy', 'spotless', 'washed', 'sanitized', 'pure']	['flawless', 'perfect', 'seamless', 'undetected', 'smooth']
en_1960	My advanced geometry class is full of squares.	squares	homographic	squares	squares	homographic	['rectangles', 'quadrilaterals', 'rhombuses', 'geometric shapes']	['nerds', 'conformists', 'boring people', 'uncool people']
en_1969	He had a difficult time bouncing back from his bungee cord accident.	bouncing	homographic	bouncing	bouncing	homographic	['rebounding', 'springing', 'ricocheting', 'elastically returning']	['recovering', 'recuperating', 'getting over', 'coming back from']
en_1972	A teacher having a tough time longs for the end of the school daze.	daze	homophonic	days	daze	homophonic	['days', 'period', 'time', 'stretch', 'spell']	['daze', 'confusion', 'stupor', 'bewilderment', 'fog', 'disorientation']
en_1980	The rabbi became a professional golfer because he was good at making the cut.	cut	homographic	cut	cut	homographic	['qualify', 'advance', 'pass', 'succeed', 'meet the standard']	['incision', 'slice', 'gash', 'wound', 'trim']
en_200	When poker players have to fold they feel a bit discarded.	discarded	homographic	discarded	fold	homographic	['surrender', 'quit', 'give up', 'concede', 'withdraw']	['crease', 'bend', 'double over', 'collapse', 'buckle']
en_2004	I'll take that, he said appropriately.	appropriately	homophonic	appropriate	appropriately	homophonic	['fittingly', 'suitably', 'properly', 'correctly', 'aptly']	['take', 'seize', 'acquire', 'claim', 'commandeer', 'appropriate']
en_2007	Old janitors never die they just get swept up.	swept	homographic	swept	swept	homographic	['cleaned', 'mopped', 'brushed', 'tidied']	['consumed', 'overwhelmed', 'carried away', 'engulfed']
en_2010	I feel empty inside, he hollered.	hollered	homophonic	hole	hollered	homophonic	['shouted', 'yelled', 'screamed', 'cried out', 'bellowed']	['hollow', 'empty', 'void', 'vacant', 'unfilled']
en_2014	Doctor, Doctor, you've got to help me. I think I'm a kleptomaniac.-Don't worry. I think there's something you can take for that. Next.	take	homographic	take	take	homographic	['steal', 'pilfer', 'swipe', 'pocket', 'filch']	['ingest', 'consume', 'swallow', 'use', 'administer']
en_2018	Badminton players are for the birds.	birds	homophonic	birdies	birds	homographic	['avians', 'fowl', 'winged animals', 'feathered creatures']	['shuttlecock', 'birdie', 'feathered projectile', 'badminton projectile']
en_2020	A good carpenter will do his work and then varnish without a trace.	varnish	homophonic	vanish	varnish	homophonic	['lacquer', 'coat', 'glaze', 'finish', 'polish']	['vanish', 'disappear', 'evaporate', 'dissolve', 'fade']
en_2024	The Biomedical Engineer didn't have the heart to check the EKG machine.	heart	homographic	heart	heart	homographic	['courage', 'nerve', 'bravery', 'guts', 'boldness']	['cardiac organ', 'pump', 'ticker', 'cardiovascular muscle', 'chest organ']
en_2027	The dance club opened to rave reviews.	rave	homographic	rave	rave	homographic	['ecstatic', 'enthusiastic', 'glowing', 'effusive', 'laudatory']	['dance party', 'club night', 'electronic music event', 'nightclub gathering', 'techno party']
en_204	50 Shades of Grace	grace	homophonic	gray	Grace	homophonic	['elegance', 'poise', 'refinement', 'beauty', 'charm', 'gracefulness']	['Grey', 'gray', 'Grey (as in 50 Shades of Grey)', 'ashen', 'silver', 'neutral']
en_2045	My name is Matt. I'm a doorman.	matt	homophonic	mat	Matt	homophonic	['Matt', 'Matthew', 'given name', 'male name']	['mat', 'doormat', 'floor mat', 'entrance mat', 'rug']
