id_en	text_clean
en_1599	Two astronauts who were dating put an end to it because they both needed their space.
en_160	"Take me to the dance," he bawled.
en_1611	The pistol of a flower is its only protections against insects.
en_1615	If you eat soup that's nine days old you will get bad broth.
en_1621	The race dogs got a bad case of the fleas-they had to be scratched.
en_1622	I made a batch of fish eye soup, it should see me through the week.
en_1626	Arriving late, Senator Kennedy slipped on a banana peel and fell in a heap, resulting in a humerus break in the midst of the subcommittee's intense discussion.
en_1644	I started to work at a seafood buffet, but then I pulled a mussel.
en_1647	A boiled egg in the morning is hard to beat.
en_1649	Swimmers have to be careful not to get into deep trouble.
en_1660	The self-conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer.
en_1669	Patience is a virtue heavy in wait
en_167	We don’t read palms; we wave them.
en_1672	The boating store had its best sail ever.
en_1674	"Europe needs more self-restraint," he said continently.
en_1688	Old bankers never die they just lose interest.
en_169	Sometimes a pregnancy is so long it seems like a maternity.
en_1701	She was only a Fireman's daughter, but she's really going to blazes.
en_1705	A discussion of digging a new mine shaft was too deep for him.
en_1711	If you're looking for oranges on an apple tree you will have a fruitless search.
en_1716	When bottled water is cheap it's called a liquidation sale.
en_1721	Old gardeners never die, they just get uprooted.
en_1722	The satellite went into orbit on January 1st causing a new year's revolution.
en_1724	Practice safe eating – always use condiments.
en_1726	Wal-Mart isn't the only saving place!
en_1727	I went out for a run this morning and tripped over, I could have been wearing the wrong size shoes, I haven't seen the footage yet.
en_1733	Some people don't have the Vegas idea of how to quit gambling.
en_1739	Those who make sponges get very absorbed in their work.
en_178	In times like these the value of Chinese currency should make Americans pay attention. Instead, too many of us just yuan.
en_1783	The mushroom is a vegetable of high morel standing.
en_1788	She became an art dealer because she wanted more Monet.
en_1794	She was only a Pitcher's daughter, but you should have seen her curves.
en_1796	I saw a beaver movie last night, it was the best dam movie I've ever seen.
en_1807	"I've stuck a pin through my nose," he said punctually.
en_1819	"Have you seen my collection of ancient Chinese artifacts?" he asked charmingly.
en_1826	"That makes 144," he said, grossly.
en_1835	Two brothers collaborated on haunted stories, but one was a ghost writer.
en_1839	The inept mathematician couldn't count on his friends.
en_1849	Those who have icicles keep a stiff upper drip.
en_1850	If you want those ashes, you'll have to urn them.
en_186	"I fought with Geronimo," he said bravely.
en_1865	The bargain store promised a free abacus with every purchase, but I wouldn't count on it.
en_187	"Now I can do some painting," he said easily.
en_1877	"Would you like some soda in your whiskey?" he asked caustically.
en_1883	A group called the Balloons sings pop music.
en_1895	My friend gave me a book about puns for my birthday and I loved it. It was two meaningful.
en_1898	Did you hear about the new pinata? It's a huge hit.
en_1906	A lingerie thief gave a police officer the slip.
en_191	His wife left him saying she was going home to mutter.
en_1914	"You resemble a goat," he said satirically.
en_1926	Did you hear about the father that was difficult to see? He was transparent.
en_1927	Jesus changes grave situations. Happy Easter.
en_1929	A wig van blew up on the motorway-police are combing the area.
en_1931	To emphasize that someone is a stranger: "As we used to say in the cheese industry, I don't know him from Edam."
en_1940	Partying Saturday and Sunday leaves me feeling weakened.
en_1943	Safety goggles were invented by a peripheral visionary.
en_1951	"Waiter, there's a fly in my soup!" "Force of habit, sir, the chef used to be a tailor.
en_1953	Have an optometrist run for president, because they are people of vision.
en_1954	The Net-surfing bandits always ended an operation by clearing out the cash.
en_1955	If you walk along a railroad track you may soon feel run down.
en_1959	A man stole a case of soap from the corner store. The police said he made a clean getaway.
en_1960	My advanced geometry class is full of squares.
en_1969	He had a difficult time bouncing back from his bungee cord accident.
en_1972	A teacher having a tough time longs for the end of the school daze.
en_1980	The rabbi became a professional golfer because he was good at making the cut.
en_200	When poker players have to fold they feel a bit discarded.
en_2004	"I'll take that," he said appropriately.
en_2007	Old janitors never die they just get swept up.
en_2010	"I feel empty inside," he hollered.
en_2014	Doctor, Doctor, you've got to help me. I think I'm a kleptomaniac.-Don't worry. I think there's something you can take for that. Next.
en_2018	Badminton players are for the birds.
en_2020	A good carpenter will do his work and then varnish without a trace.
en_2024	The Biomedical Engineer didn't have the heart to check the EKG machine.
en_2027	The dance club opened to rave reviews.
en_204	50 Shades of Grace
en_2045	My name is Matt. I'm a doorman.
en_2050	It's hard for a depressed turtle to get out of his shell.
en_2052	Old bakers never die, they just keep making lots of dough.
en_2058	Old lawyers never die they just lose their judgment.
en_2061	A cowboy who was also an artist could draw fast.
en_2064	Marconi was not wired up about going.
en_207	Plenty of people give the lord credit. Few give him cash.
en_2070	He tried to sell me glass with imperfections in it, but I saw through it.
en_208	Old pilots never die they just go to a higher plane.
en_2089	Are Philosophy papers graded with Marx out of ten?
en_2093	Old coupon clippers never die, they just expire.
en_2097	A basketball player couldn't control his saliva but he could sure dribble.
en_2103	The pun in the title of the play "The Importance of Being Earnest" was a Wilde idea.
en_2104	Because the champion angler instructed his pupils to cast their lines where the river runs through narrow chasms, they called him the "fissure King."
en_2109	Old lumberjacks never die, they just pine away.
en_2111	Dermatologists often make rash statements.
en_2117	An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation.
en_2123	"These bit patterns will be more readable in groups of 8," he said bitingly.
en_2136	Building a cul-de-sac would be a bit of a dead-end job.
en_2144	There was a guy who was fired from the orange juice factory for lack of concentration.
en_2145	Animals that tunnel in the soil have to have an escape root.
en_215	When it got stuck in the mud my car had to be toad.
en_2154	The new father of quintuplets could hardly believe his own census.
en_2169	What did the skeleton have for supper? Ribs.
en_217	If all your troubles are melting away watch out for the floods.
en_2175	There was a report of shots fired in a local bar. The police don't know what triggered the commotion.
en_2180	Sign at a place where you lose weight: 'Stop Look and Lessen'.
en_2181	A mathematician that couldn't stop adding up recently went incremental.
en_2183	Scientists allow us to see the sun in a different light.
en_2187	Changing a tire on that crazy Houston freeway was a wrenching experience.
en_2194	"It's just gold leaf," he said guiltily.
en_2197	When a problem or dilemma arises: "As plumbers say, it's not drain surgery."
en_2198	"I like ragged margins," he said without justification.
en_2200	Doctor, doctor, I keep thinking I'm a spoon.-Sit there and don't stir. Next.
en_2212	I bought me some of those new paper shirts. I don't like them-they're tearable.
en_2217	"I presented my case to the judge," he said briefly.
en_2235	It was raining cats and dogs. There were poodles all over the road.
en_224	"I've an urgent appointment," he said in Russian.
en_2248	Have you ever read the Rime of the Ancient Gardener? It was written by Samuel Taylor Foliage.
en_2254	"Superglue!" he rejoined.
en_2260	After the sniper attack at the symphony softball game, there were no men left on bass.
en_2262	Truckers like houses with long haulways.
en_2296	If you operate a drill press you have a boring job.
en_231	Sign in an electrician's shop: 'We will refuse you.'
en_2317	"Please mix me a martini," he said, dryly.
en_2320	Teacher: In this box, I have a 10-foot snake. Sammy: You can't fool me, Teacher... snakes don't have feet.
en_2322	For class schedules Yoga instructors are flexible.
en_2324	Erasable pens were a good idea on paper.
en_2329	I'd really like to know whether her collapse was due to a serious illness or whether it was one of her usual feints.
en_2334	The nudist defended himself by citing his Constitutional right to bare arms.
en_2337	"It's my personal magnetism," he said ironically.
en_2340	My name is Gene, I'm a DNA researcher.
en_2344	My two uncles bet who would get married first. Then one upped the ante.
en_2359	The plumber had to quit his job because it was too much of a drain.
en_2361	My heart starts aiken when Clay sings.
en_2373	Admitting a mistake: "Like the orthopedist's patient, I stand corrected."
en_2385	Old mathematicians never die, they just go off on a tangent
en_2389	"I've got to fix the automobile," he said mechanically.
en_24	With certain cashiers, things are slow to register.
en_2407	Saw makers losing money have to make lots of cuts.
en_2410	"Company's coming," he guessed.
en_2424	She wanted the large estate quite badly but, she dared not mansion it to her frugal husband.
en_243	The politician is not one for Indian food. But he's good at currying favors.
en_2433	What is the best store to be in during an earthquake? A stationery store.
en_2449	Figure skaters don't like to be in a rut.
en_245	Old bungee jumpers sometimes die but they can still bounce back
en_2450	Elephants will toil all day, and they work for peanuts.
en_2452	Old gardeners never die they just vegetate.
en_2453	"I like modern painting," he said abstractly.
en_2459	Finding area is an integral part of calculus.
en_246	Old pineapple growers never die, they just get on the dole.
en_2466	A pickle maker fell into one of the vats at work. At hospital it was determined he had a brine injury.
en_2480	"Why shouldn't I stir my coffee with a ballpoint pen?" he bickered.
en_2486	The weather man said there won't be any rain for 6 months, but I drought it.
en_2491	I'm simply not a nice girl," she whispered tartly.
en_2493	I love your old worn-out jacket covered with all those slogans, but I can't read the frays at the end of the sleeves.
en_2496	A pediatrician is a doctor of little patients.
en_2502	Old logicians never die, they just vacate the premises.
en_2508	She was only a Insurance broker's daughter, but all the guys liked her policy.
en_2513	On the old trains the engineer had a lot of esteem.
en_2514	Acupuncture is a jab well done.
en_2536	Traveling on a flying carpet is a rugged experience.
en_2539	Some people with a lot of vision started the Blind Institute.
en_2541	"I need to go on a diet," he said wastefully.
en_2548	"I haven't had my photographs developed yet," he said negatively.
en_2549	What kind of flooring do alligator hunters use? Reptiles!
en_2550	My name is Sandy, I just hang around the beach.
en_2552	It is difficult to escape being a peasant because resistance is feudal.
en_2557	To a person who is attentive to minutiae: "You're certainly observant, even if you're not religious."
en_2563	Bakers have a great knead to make bread.
en_2565	"How long will I have to wait for a table?" he asked without reservation.
en_2566	Never invest in funerals, it's a dying industry.
en_2570	My neighbor's sprinkler is a constant irrigation to me.
en_2578	The first duck wouldn't go in the water. The other duck said "What are you, chicken?".
en_258	Diets are for people who are thick and tired of it all.
en_2585	When asked whether or not I was bilingual, I was about to say I knew sign language, but I figured it was sort of a mute point.
en_2595	My name is Clarence, I specialize in end-of-season inventory closeout sales.
en_2602	Smaller babies may be delivered by stork but the heavier ones need a crane.
en_2606	When priests have a good idea they are supposed to parish the thought.
en_2614	Old moonshiners never die, they just keep still.
en_2616	Shopaholics never die, they just sale away.
en_262	The mad scientist in the old castle had a strange secret – but he kept it under his bat.
en_2622	Old train engineers never die, they just get derailed.
en_2626	After getting pranked by his friends and getting hit with a basket, Aron knew they had a wickerd sense of humour.
en_2630	Early nuclear experimenters discovered an element of surprise.
en_2632	When some coins fell into the batter it turned out to be a rich cake.
en_2651	The math teacher was a good dancer-he had algorithm.
en_2662	There was a sign on the lawn at a drug re-hab center that said 'Keep off the Grass'.
en_2664	Old bread men never die, they just lose their dough.
en_2665	Old pyromaniacs never die, they just lose their spark
en_2666	Two mining companies merged and became alloys.
en_2667	My friend came around for dinner. We ate for 20 minutes, then he fainted again.
en_2676	People who make necklaces may get beady eyes.
en_2686	Victims of bad construction in the orient are 'bamboozled'.
en_2705	Whenever the nurses have a bad day they just keep needling people.
en_2712	His wife loved pottery making but for him it was just kiln time.
en_2714	Pray up in advance.
en_2718	Old programmers never die, they just can't C as well.
en_2719	Let's go to the gym and weight a while.
en_2729	I went to prom with a broken leg. During the slow dances my date could tell that I had a crutch on her.
en_2735	Don’t let adversity get you down unless you are on your knees
en_2736	Old cartoonists never die, they just draw their last breath.
en_2739	For greeting card companies their fate is in the cards.
en_2740	He and his partner made knives, and they shared a cut.
en_2746	If you burn the candle on both ends, you’re not as bright as you think.
en_2747	"Let's all play an A, a C sharp, and an E," his band cried with one accord.
en_275	The swollen blood vessels in her legs were very quarrelsome-she had bellicose veins.
en_2752	Old magicians never die they just disappear.
en_2756	Missionaries like open hooded cars because they are convertible.
en_2757	A little boy fired his light-colored crayons because they wouldn't show up.
en_2767	Old farmers never die, they just turn into vegetables.
en_2774	My name is Hans. I'm a manicurist
en_2779	Pavlov was drooling at the thought.
en_2780	The boy who got electrocuted was unable to give a statement because he was still shocked at the incident.
en_280	"I deny everything," he said knowingly.
en_2805	The cat took up computer lessons in hopes of mastering its grip on a mouse.
en_2814	The study of ancient symbols will lead you to rune.
en_2820	"If I let go of the ceiling it will collapse," he upheld.
en_2823	I learned that the antelopes were coming when I heard the gnus.
en_2828	"I'm burning aromatic substances," he said, incensed.
en_2829	The lumber company downsized. They got rid of the deadwood.
en_2832	A course offered to introduce French in five easy liaisons.
en_284	Old shoemakers never die, they just lose their sole.
en_2840	Gunpowder was invented in a flash.
en_2842	Il se muove, said Galileo, movingly
en_2843	When I asked the man how he became a ditch-digger, he said he just fell into it.
en_2846	"So that's the way the wind blows," he said vainly.
en_2851	His business plan to manufacture scissors just didn't cut it.
en_2852	If there's one person you don't want to interrupt in the middle of a sentence it's a judge.
en_2857	The calculus teacher tried to keep his students on task, but the class discussion kept going off on tangents.
en_286	Giving praise is when you let off esteem.
en_2868	If a dog was computer literate, would his bark be worse than his byte?
en_2875	When the father found he had septuplets, he could hardly believe his own census.
en_2893	The best place for a mathematician is behind a counter.
en_2904	As to how to play snooker, some people don't have a cue.
en_291	A cutlery manufacturing company was built at a fork in the road.
en_2910	One grasshopper told another about eating corn. It went in one ear and out the other.
en_2912	It's a lengthy article on Japanese Sword Fighters but I can Samurais it for you.
en_2913	A good baker will rise to the occasion, it's the yeast he can do.
en_2916	After Jimmy swallowed a live earthworm, he sat waiting with baited breath to see if he'd get sick.
en_2923	A cross between a puppy and a bunny is a rabid dog.
en_2933	Fashion is something that goes in one era and out the other.
en_2942	Even though Ashley was blind and under arrest, she still had hope that someone would brail her out.
en_2945	Cows make noise only when they're in the mood.
en_2946	Most hunters are nice because they're such deer people.
en_2947	Doctor, Doctor, what would you take for this cold?-Make me an offer. Next.
en_2950	The cartoon animator felt imprisoned by his job. He could not free himself from his cel.
en_2953	They won't stay at friendly hotels, because they're hostel people.
en_2955	The psychotic florist created many flower derangements.
en_2961	As they looked at the recreation of the Greek temple on Rodeo Drive while a freak ice storm was occurring, Emily and Henry were astonished by the very unusual frieze.
en_2965	John plans to retire in the spring and, like the trees around us, will be leafing.
en_297	When they told him that his drum couldn't be fixed, it didn't resonate very well.
en_2977	Be true to your teeth, or they will be false to you.
en_2980	Leftover spaghetti is pasta its prime.
en_2983	Tailors enjoy hanging out in internet fora, as they are full of threads.
en_2985	I went and saw the Hobbit, it put a Smaug look on my face.
en_2991	My name is Sherry. I'm a wine-master.
en_2993	The man addicted to brake fluid said he could stop any time.
en_3007	The cheap eye surgeon was always cutting corneas.
en_3016	My pet bird can predict the future. He is an omen pigeon.
en_3018	Scarecrows are always garden their patch.
en_3034	She was only a Electrician's daughter, but she went haywire.
en_3036	Psychiatrists like Kentucky Freud Chicken.
en_3043	Here is how the track meet is going to run...
en_3045	I tried to record an album in a reptile shop, but there was a terrible gecko.
en_3048	Dentists don't like a hard day at the orifice.
en_3054	The astronomer became an actor because he always wanted to visit the stars.
en_3059	My name is Gail. I'm a meteorologist
en_3062	Martians welcome. We have space for everyone.
en_3066	A baseball player joined the army and did the round of military bases.
en_3073	By yourself you're in the right. In a group you're in the throng.
en_3077	Salespeople selling security equipment like to see people get alarmed.
en_3079	The phone call interrupted my nap, and I never did get the rest.
en_3081	Comedians, the biggest joke going.
en_3092	The obese editor started a weight redaction program.
en_3094	Old guitarists never die, they just fret their lives away
en_3108	The inventor of the stove top was in his element.
en_3117	She was only a Glaziers daughter but took great panes to please
en_3119	For a long time, black holes were a dark secret.
en_3126	He was hit on the head during a hail storm and was knocked out cold.
en_3136	I bought a metronome for 20 bucks. You can't beat that price.
en_314	People who make motor oil are very refined.
en_3142	When the florist was running behind in delivering the roses, he had to put the petal to the metal.
en_3156	A tangled bell ringer tolled himself off.
en_3158	"I have to check the score on this exam again," he remarked.
en_3165	"Let's visit the tombs," he said, cryptically.
en_3170	Stereo speakers are made by 'high volume' manufacturers.
en_3176	We went to the owls convention and it was a real hoot.
en_3182	Old gravediggers; never die, they just spade away.
en_3183	He told me he could eat a 32 ounce steak, but I found that hard to swallow.
en_3184	Old programmers never die, they just move to new addresses.
en_3189	If you want a metal dog leash go to a chain store.
en_3195	"My stereo's half-fixed," he said monotonously.
en_32	A person who would make a banking joke is of no account.
en_3203	A group of singers wore coral necklaces.
en_3209	"A dog bit me," he said rabidly.
en_3223	The landscaper thought gardening magazines were fun to leaf through.
en_3226	A gardener who moved back to his home town rediscovered his roots.
en_3233	Finding all possible logical relations between a finite collection of sets is not a matter of If but Venn.
en_3245	She was only a Telephone operator's daughter, but she sure had good connections.
en_3249	Mr. Coffee returns from Soviet Russia: "I have seen the future and it perks"
en_3251	There was a lot of equestrian paraphernalia at the bridle shower.
en_3256	The ice at the rink has many ruts. I think the maintenance crew is slipping up.
en_3258	Even though the well was a mystery to her, she didn't want to get to the bottom of it.
en_3261	That new mystery novel has a killer start to it.
en_327	When Socrates needed to buy food he went to the grocery stoa.
en_3274	Many people need to learn to be happy with the State they are in.
en_3282	This is a good bra, she said upliftingly.
en_3283	Two brothers fought over some sheet music but their mother wanted to keep the piece.
en_3284	A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution.
en_3286	The Keystone Kops were frequently criticized for excessive use of farce.
en_3291	"Have you ever been whitewater rafting?" he asked rapidly.
en_3301	"I prefer trout to salmon," he said officiously.
en_331	Sellers of dried grapes are always raisin awareness.
en_3327	Santa goes down the chimney because it soots him.
en_3328	It's amazing what two or more sinners can achieve together with synergy.
en_3344	"I'm singing well these days," he intoned.
en_3345	These are my parents, said Einstein relatively
en_3346	Burning too much incense in a rented room could make the owner incensed.
en_3347	"I hate sweet potatoes," he yammered.
en_3349	He couldn't decide whether to accept a job in mattress sales so he decided to sleep on it.
en_3354	Those who find bargain antiques like to junk for joy.
en_336	Old math professors never die, they just use strange expressions.
en_337	Our Boy Scouts' knot-tying class went off without a hitch.
en_3383	Old planets never die, they just lose their attraction.
en_3387	Two florists got married. It was an arranged marriage.
en_3388	A musician went to hospital after playing too many accidentals.
en_339	"Angel dust? Me? Never touch it!" he snorted.
en_3396	The careless pyromaniac made an ash of himself.
en_3399	Fashionable women in Indiana all wear designer Hoosiery.
en_3401	Old baseballs never die they just get pitched.
en_3422	During the meeting about earthquakes, there were several motions.
en_3425	Bring your spirtual Marshmellows, our pastor is on fire!
en_3439	She was only an Apple-grower's daughter but the men said she was delicious.
en_3443	Time flies when you ’ re following the son
en_3445	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.
en_3450	The fertiliser business is a growing industry.
en_3451	A cat ate some cheese and waited for a mouse with baited breath.
en_3452	"I compliment the company that makes the Macintosh computer," he said applauding.
en_3453	Hotel owners usually have suite dreams.
en_3454	Insulting an East Indian chef will bring you bad Korma.
en_3455	My name is Harry. I'm a barber.
en_3462	When you're wearing a watch on an airplane, time flies.
en_3467	When the proposal was made to locate the governor's mansion in Albany, New Yorkers said," That's a capitol idea."
en_3470	"I won't finish in fifth place," he held forth.
en_3494	Some commands given by the army are specific, others are General.
en_3495	If you sing while playing baseball, you won't get a good pitch.
en_3497	The telemarketer asked me if I read magazines at all and I replied that I did, periodically.
en_3498	"The seesaw is upside down," he said saucily.
en_3499	Two wrongs can make a riot.
en_3507	A baseball player can sell himself to a new team if he has a good pitch.
en_3519	Old horse stables do die but they can always be barn again
en_3525	People have many misconceptions about pregnancy.
en_3533	Some burglars are always looking for windows of opportunity.
en_3538	"I know what herb would taste nice with this," he said sagely.
en_3554	The trapeze artist had to buy his own safety equipment. Every Friday he drew his net wages.
en_3559	You should lock up your wine in a cabernet.
en_3570	Luggage salespeople have to make a good case for you to buy.
en_359	When asked by a Health Department official to describe the mess he saw on the slaughterhouse floor, the USDA inspector replied," It was just offal."
en_3594	The body builder worried too much about the lifting contest and his trainer concluded that the mind is a terrible thing to weights.
en_3598	Chimney sweep's daughter, but she soots me fine.
en_36	A husband who thinks he is as solid as a rock may have a wife who wishes he was a little bolder.
en_3613	"I bought myself fifty hamburgers and I've only ten left," he said with fortitude.
en_362	"I'm a lion hunter," he said, pridefully
en_3621	I just got back from a statistical probability conference. It was average.
en_3626	Old colanders never die, they just can't take the strain anymore.
en_3629	He took a nail to the volleyball game because he wanted to spike it.
en_3633	When a college dormitory exploded a lot of roomers were flying.
en_3638	"I've been listening to the Brandenberg Concertos," he barked.
en_3643	During a recent trip to Qatar, Bill Clinton went to McDonald's and ordered fries with a sheik.
en_3648	Wal-Mart Is Not the Only Saving Place. Come On In.
en_3650	"How do you start a model-T Ford without a battery?" he asked crankily.
en_366	When asked by a passenger how high he would get, the pilot replied, 'I don't do drugs.'
en_3670	A drummer can cymbalize the enthusiasm of a band.
en_3674	The geologist went to the doctor because he had a loss of apatite.
en_3677	She was suspected of stealing a brooch but they couldn't pin it on her.
en_3678	To golf at your favorite course may require a long drive.
en_3680	"It's the quotient of two integers," he said rationally.
en_3681	In the office she was frantically looking for her false nails only to discover she had filed them away.
en_3684	The proctologist reassured the patient that his condition could be rectified.
en_369	Old wrestlers never die they just lose their grip.
en_37	Wilbur Wright said he'd take a flier on it.
en_3705	Christians, keep the faith... but not from others!
en_3707	Aliens can easily understand each other because their language is universal.
en_3708	An heir is someone with a descent wage.
en_3713	She was only a Grape picker's daughter, but she was never Chablis dressed.
en_3718	'We've run out of lemons', she said bitterly.
en_3719	I wanted to make suits but I could never measure up.
en_372	If your waiting for something to turn up, try your sleeves.
en_3725	I had some back trouble, but it's all behind me now.
en_3729	"I like Chinese detective movies," he chanted.
en_3730	"I've been to a film festival in Southern France," he said cannily.
en_3739	As I revived her using mouth to mouth resuscitation, in spite of my lisp, I couldn't help noticing her beautiful breaths!
en_3742	Some bankers are generous to a vault.
en_3747	Two construction workers had a stairing contest.
en_3750	The safe was invented by a cop and a robber. It was quite a combination.
