id_en	en	fr	text_fr	text_clean
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	Firmin et Henri attendaient tous les deux que Gladys arrive dans leur collocation. Elle appuie sur la sonnette mais personne ne lui ouvre, car aucun des deux ne sait pour qui sonne Gladys.	Firmin et Henri attendaient tous les deux que Gladys arrive dans leur collocation. Elle appuie sur la sonnette mais personne ne lui ouvre, car aucun des deux ne sait pour qui sonne Gladys.	Firmin et Henri attendaient tous les deux que Gladys arrive dans leur collocation. Elle appuie sur la sonnette mais personne ne lui ouvre, car aucun des deux ne sait pour qui sonne Gladys.
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	Plabo et José ont attendu un signal de la part de Pilar pour la rejoindre dans la tour de l'église, mais aucun des deux n'a répondu au carillon, car ils ne savaient pas lequel des deux cette cloche sonnait.	Plabo et José ont attendu un signal de la part de Pilar pour la rejoindre dans la tour de l'église, mais aucun des deux n'a répondu au carillon, car ils ne savaient pas lequel des deux cette cloche sonnait.	Plabo et José ont attendu un signal de la part de Pilar pour la rejoindre dans la tour de l'église, mais aucun des deux n'a répondu au carillon, car ils ne savaient pas lequel des deux cette cloche sonnait.
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	Pablo et José ont attendu que Pilar leur dise de la rejoindre à dans le clochet de l'église. Ils ont cherché le clochet mais ne l'ont jamais trouvé. Pilar ne dit que des sonnettes.	Pablo et José ont attendu que Pilar leur dise de la rejoindre à dans le clochet de l'église. Ils ont cherché le clochet mais ne l'ont jamais trouvé. Pilar ne dit que des sonnettes.	Pablo et José ont attendu que Pilar leur dise de la rejoindre à dans le clochet de l'église. Ils ont cherché le clochet mais ne l'ont jamais trouvé. Pilar ne dit que des sonnettes.
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	Pablo et Jose attendirent un signal de Pilar pour la rejoindre dans la tour de l'Église, mais ils ne répondirent pas au chant parce qu'ils ne savaient pas pour qui la belle se balançait.	Pablo et Jose attendirent un signal de Pilar pour la rejoindre dans la tour de l'Église, mais ils ne répondirent pas au chant parce qu'ils ne savaient pas pour qui la belle se balançait.	Pablo et Jose attendirent un signal de Pilar pour la rejoindre dans la tour de l'Église, mais ils ne répondirent pas au chant parce qu'ils ne savaient pas pour qui la belle se balançait.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	Un jour, quelqu'un m'a accusé d'avoir volé un timbre de valeur, rare et ancien. Je lui ai dit que, pour porter de telles accusations, il devait être complètement timbré.	Un jour, quelqu'un m'a accusé d'avoir volé un timbre de valeur, rare et ancien. Je lui ai dit que, pour porter de telles accusations, il devait être complètement timbré.	Un jour, quelqu'un m'a accusé d'avoir volé un timbre de valeur, rare et ancien. Je lui ai dit que, pour porter de telles accusations, il devait être complètement timbré.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	Quelqu'un m'a accusé d'avoir contrefait les pièces de collections vendues au club de philatélistes. J'ai nié en ajoutant qu'il était timbré.	Quelqu'un m'a accusé d'avoir contrefait les pièces de collections vendues au club de philatélistes. J'ai nié en ajoutant qu'il était timbré.	Quelqu'un m'a accusé d'avoir contrefait les pièces de collections vendues au club de philatélistes. J'ai nié en ajoutant qu'il était timbré.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	On m'a accusé de voler un vieux timbre de grande valeur, mais je me suis affranchi de ce soupçon.	On m'a accusé de voler un vieux timbre de grande valeur, mais je me suis affranchi de ce soupçon.	On m'a accusé de voler un vieux timbre de grande valeur, mais je me suis affranchi de ce soupçon.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	Une fois j’ai été accusé d’avoir volé un vieux timbre rare et précieux, j’ai évidemment nié comme un timbré.	Une fois j’ai été accusé d’avoir volé un vieux timbre rare et précieux, j’ai évidemment nié comme un timbré.	Une fois j’ai été accusé d’avoir volé un vieux timbre rare et précieux, j’ai évidemment nié comme un timbré.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	Un jour quelqu’un m’a accusée d’avoir volé un œuf de Fabergé très rare, et je n’ai pas pu rester pondéré.	Un jour quelqu’un m’a accusée d’avoir volé un œuf de Fabergé très rare, et je n’ai pas pu rester pondéré.	Un jour quelqu’un m’a accusée d’avoir volé un œuf de Fabergé très rare, et je n’ai pas pu rester pondéré.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	Un philatéliste m'a accusé d'avoir volé toute sa collection... Quel timbré, celui-là !	Un philatéliste m'a accusé d'avoir volé toute sa collection... Quel timbré, celui-là !	Un philatéliste m'a accusé d'avoir volé toute sa collection... Quel timbré, celui-là !
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	On m'a un jour accusé d'avoir volé des vieux timbres rares qui valaient très cher, ce que j'ai nié en bloc.	On m'a un jour accusé d'avoir volé des vieux timbres rares qui valaient très cher, ce que j'ai nié en bloc.	On m'a un jour accusé d'avoir volé des vieux timbres rares qui valaient très cher, ce que j'ai nié en bloc.
en_1059	The whistling fisherman was always out of tuna.	Le pêcheur sifflant était toujours hors de thon.	Le pêcheur sifflant était toujours hors de thon.	Le pêcheur sifflant était toujours hors de thon.
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	Si vous portez un bandeau aux yeux, vous ne saurez pas ce que vous manquez.	Si vous portez un bandeau aux yeux, vous ne saurez pas ce que vous manquez.	Si vous portez un bandeau aux yeux, vous ne saurez pas ce que vous manquez.
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	Si vous portez un bandeau sur les yeux au stand de tir, vous ne saurez pas ce que vous manquez.	Si vous portez un bandeau sur les yeux au stand de tir, vous ne saurez pas ce que vous manquez.	Si vous portez un bandeau sur les yeux au stand de tir, vous ne saurez pas ce que vous manquez.
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	Si tu portes un bandeau sur tes yeux au stand de tir, tu ne sauras pas ce que tu rates.	Si tu portes un bandeau sur tes yeux au stand de tir, tu ne sauras pas ce que tu rates.	Si tu portes un bandeau sur tes yeux au stand de tir, tu ne sauras pas ce que tu rates.
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	Si tu portes des yeux au champ de tir, tu ne sais pas ce que tu manques.	Si tu portes des yeux au champ de tir, tu ne sais pas ce que tu manques.	Si tu portes des yeux au champ de tir, tu ne sais pas ce que tu manques.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent jamais, ils ne gagnent juste plus aussi bien leur pain.	Les vieux boulangers ne meurent jamais, ils ne gagnent juste plus aussi bien leur pain.	Les vieux boulangers ne meurent jamais, ils ne gagnent juste plus aussi bien leur pain.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les anciens boulangers ne meurent jamais, ils arrêtent juste de se faire du blé.	Les anciens boulangers ne meurent jamais, ils arrêtent juste de se faire du blé.	Les anciens boulangers ne meurent jamais, ils arrêtent juste de se faire du blé.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croûte.	Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croûte.	Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croûte.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Un boulanger qui a fait faillite n'a plus de blé.	Un boulanger qui a fait faillite n'a plus de blé.	Un boulanger qui a fait faillite n'a plus de blé.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent pas, ils ont juste de moins en moins de blé.	Les vieux boulangers ne meurent pas, ils ont juste de moins en moins de blé.	Les vieux boulangers ne meurent pas, ils ont juste de moins en moins de blé.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent pas, ils arrêtent seulement de gagner leur croûte.	Les vieux boulangers ne meurent pas, ils arrêtent seulement de gagner leur croûte.	Les vieux boulangers ne meurent pas, ils arrêtent seulement de gagner leur croûte.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent pas, ils arrêtent juste de se faire du blé	Les vieux boulangers ne meurent pas, ils arrêtent juste de se faire du blé	Les vieux boulangers ne meurent pas, ils arrêtent juste de se faire du blé
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux meuniers ne meurent jamais, ils arrêtent juste de se faire du blé.	Les vieux meuniers ne meurent jamais, ils arrêtent juste de se faire du blé.	Les vieux meuniers ne meurent jamais, ils arrêtent juste de se faire du blé.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux pâtissier ne meurent pas, ils arrêtent de mettre la main à la pâte.	Les vieux pâtissier ne meurent pas, ils arrêtent de mettre la main à la pâte.	Les vieux pâtissier ne meurent pas, ils arrêtent de mettre la main à la pâte.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Une boulangère ne meurt jamais, seulement, ses problèmes vont croissant.	Une boulangère ne meurt jamais, seulement, ses problèmes vont croissant.	Une boulangère ne meurt jamais, seulement, ses problèmes vont croissant.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent jamais, ils cessent seulement de mettre la main à la pâte.	Les vieux boulangers ne meurent jamais, ils cessent seulement de mettre la main à la pâte.	Les vieux boulangers ne meurent jamais, ils cessent seulement de mettre la main à la pâte.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Un boulanger ne meurt pas, il est dans le pétrin.	Un boulanger ne meurt pas, il est dans le pétrin.	Un boulanger ne meurt pas, il est dans le pétrin.
en_108	OLD BAKERS never die, they just stop making lots of dough.	À force de se faire mener à la baguette, le boulanger s’est retrouvé dans le pétrin.	À force de se faire mener à la baguette, le boulanger s’est retrouvé dans le pétrin.	À force de se faire mener à la baguette, le boulanger s’est retrouvé dans le pétrin.
en_108	OLD BAKERS never die, they just stop making lots of dough.	Les vieux boulangers ne meurent pas, ils ne mettent juste plus la main à la pâte.	Les vieux boulangers ne meurent pas, ils ne mettent juste plus la main à la pâte.	Les vieux boulangers ne meurent pas, ils ne mettent juste plus la main à la pâte.
en_1084	The fireplaces of oriental doctors have an Asian flue.	Je trouve que dans un intérieur rustique, un poêle à bois, ça a vraiment du chien	Je trouve que dans un intérieur rustique, un poêle à bois, ça a vraiment du chien	Je trouve que dans un intérieur rustique, un poêle à bois, ça a vraiment du chien
en_1085	After he bought a mirror he became very reflective.	Il réfléchit mieux maintenant qu'il a un miroir.	Il réfléchit mieux maintenant qu'il a un miroir.	Il réfléchit mieux maintenant qu'il a un miroir.
en_1085	After he bought a mirror he became very reflective.	Après avoir acheté un miroir, il est devenu très réfléchi.	Après avoir acheté un miroir, il est devenu très réfléchi.	Après avoir acheté un miroir, il est devenu très réfléchi.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"La nourriture a goût de plutonium", dit Tom, rayonnant.	"La nourriture a goût de plutonium", dit Tom, rayonnant.	"La nourriture a goût de plutonium", dit Tom, rayonnant.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Ce plat a un goût de plutonium", dit Tom rayonnant.	"Ce plat a un goût de plutonium", dit Tom rayonnant.	"Ce plat a un goût de plutonium", dit Tom rayonnant.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Ah, ce plat a un goût de plutonium!", fit Tom, rayonnant.	"Ah, ce plat a un goût de plutonium!", fit Tom, rayonnant.	"Ah, ce plat a un goût de plutonium!", fit Tom, rayonnant.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	Ce plat à un goût de plutonium, dit Tom brillamment.	Ce plat à un goût de plutonium, dit Tom brillamment.	Ce plat à un goût de plutonium, dit Tom brillamment.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Ça a un goût de plutonium", conclut Toto, brillament	"Ça a un goût de plutonium", conclut Toto, brillament	"Ça a un goût de plutonium", conclut Toto, brillament
en_110	''This food tastes of plutonium,'' said Tom glowingly.	" Ça a un peu le goût d'uranium non ? ", demanda Tom, rayonnant.	" Ça a un peu le goût d'uranium non ? ", demanda Tom, rayonnant.	" Ça a un peu le goût d'uranium non ? ", demanda Tom, rayonnant.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Ça a le goût du plutonium", dit Tom radieux.	"Ça a le goût du plutonium", dit Tom radieux.	"Ça a le goût du plutonium", dit Tom radieux.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	Ce plat a goût de plutonium", dit Tom, radieux	Ce plat a goût de plutonium", dit Tom, radieux	Ce plat a goût de plutonium", dit Tom, radieux
en_110	''This food tastes of plutonium,'' said Tom glowingly.	Cette nourriture a le goût de plutonium, à dit Tom brillamment.	Cette nourriture a le goût de plutonium, à dit Tom brillamment.	Cette nourriture a le goût de plutonium, à dit Tom brillamment.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	" Ce plat a goût de plutonium " dit Tom d'un air radieux.	" Ce plat a goût de plutonium " dit Tom d'un air radieux.	" Ce plat a goût de plutonium " dit Tom d'un air radieux.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	Cette nourriture à un goût de plutonium, dit Tom si brillamment.	Cette nourriture à un goût de plutonium, dit Tom si brillamment.	Cette nourriture à un goût de plutonium, dit Tom si brillamment.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	Ce plat a un goût de plutonium, dit Tom, irradiant la joie.	Ce plat a un goût de plutonium, dit Tom, irradiant la joie.	Ce plat a un goût de plutonium, dit Tom, irradiant la joie.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Ce plat a le goût de plutonium", dit Tom, les yeux brillants et la mine radieuse.	"Ce plat a le goût de plutonium", dit Tom, les yeux brillants et la mine radieuse.	"Ce plat a le goût de plutonium", dit Tom, les yeux brillants et la mine radieuse.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Cette nourriture a un goût de plutonium", dit Tom, les yeux brillants.	"Cette nourriture a un goût de plutonium", dit Tom, les yeux brillants.	"Cette nourriture a un goût de plutonium", dit Tom, les yeux brillants.
en_110	''This food tastes of plutonium,'' said Tom glowingly.	"Ce repas a le goût de plutonium", dit Tom avec un sourire irradieux.	"Ce repas a le goût de plutonium", dit Tom avec un sourire irradieux.	"Ce repas a le goût de plutonium", dit Tom avec un sourire irradieux.
en_1106	OLD TYPISTS never die, they just lose their touch.	Les vieux dactylographes ne meurent jamais, ils perdent juste leur touche spéciale.	Les vieux dactylographes ne meurent jamais, ils perdent juste leur touche spéciale.	Les vieux dactylographes ne meurent jamais, ils perdent juste leur touche spéciale.
en_1107	''This salad dressing has too much vinegar,'' said Tom acidly.	Cette sauce salade contient trop de vinaigre, dit Tom d'un ton acide.	Cette sauce salade contient trop de vinaigre, dit Tom d'un ton acide.	Cette sauce salade contient trop de vinaigre, dit Tom d'un ton acide.
en_1107	''This salad dressing has too much vinegar,'' said Tom acidly.	"Ce dressing de salade a trop de vinaigre", dit Tom acidement.	"Ce dressing de salade a trop de vinaigre", dit Tom acidement.	"Ce dressing de salade a trop de vinaigre", dit Tom acidement.
en_1107	''This salad dressing has too much vinegar,'' said Tom acidly.	« Cette vinaigrette à salade contient trop de vinaigre, a dit Tom acidulément.	« Cette vinaigrette à salade contient trop de vinaigre, a dit Tom acidulément.	« Cette vinaigrette à salade contient trop de vinaigre, a dit Tom acidulément.
en_1107	''This salad dressing has too much vinegar,'' said Tom acidly.	Quel est le comble pour un étudiant en cuisine qui n'arrive pas à faire de sauce salade au vinaigre ? D'être assidu	Quel est le comble pour un étudiant en cuisine qui n'arrive pas à faire de sauce salade au vinaigre ? D'être assidu	Quel est le comble pour un étudiant en cuisine qui n'arrive pas à faire de sauce salade au vinaigre ? D'être assidu
en_111	The local baker was paying his staff based on a flourly rate.	Tu sais que le boulanger du coin paye ses employés au blé noir ?	Tu sais que le boulanger du coin paye ses employés au blé noir ?	Tu sais que le boulanger du coin paye ses employés au blé noir ?
en_111	The local baker was paying his staff based on a flourly rate.	On ne peut pas dire que le boulanger du coin paie bien ses employés, il les roule dans la farine.	On ne peut pas dire que le boulanger du coin paie bien ses employés, il les roule dans la farine.	On ne peut pas dire que le boulanger du coin paie bien ses employés, il les roule dans la farine.
en_111	The local baker was paying his staff based on a flourly rate.	Le boulanger du quartier payait à peine ses employés alors qu'il est plein de blé.	Le boulanger du quartier payait à peine ses employés alors qu'il est plein de blé.	Le boulanger du quartier payait à peine ses employés alors qu'il est plein de blé.
en_111	The local baker was paying his staff based on a flourly rate.	Le boulanger local payait son personnel sur la base d'un taux faramineux.	Le boulanger local payait son personnel sur la base d'un taux faramineux.	Le boulanger local payait son personnel sur la base d'un taux faramineux.
en_111	The local baker was paying his staff based on a flourly rate.	Le primeur du quartier paye ses employés selon le salade horaire moyen.	Le primeur du quartier paye ses employés selon le salade horaire moyen.	Le primeur du quartier paye ses employés selon le salade horaire moyen.
en_1120	OLD POLITICIANS never die, they just harangue in there.	Les vieux politiciens ne meurent jamais, ils ne sont juste plus trop dans leur état normal.	Les vieux politiciens ne meurent jamais, ils ne sont juste plus trop dans leur état normal.	Les vieux politiciens ne meurent jamais, ils ne sont juste plus trop dans leur état normal.
en_1121	Some people find fire drills quite Alarming.	Certaines personnes pensent que les exercices d’incendie peuvent amener les gens à se blesser dans le feu de l’action.	Certaines personnes pensent que les exercices d’incendie peuvent amener les gens à se blesser dans le feu de l’action.	Certaines personnes pensent que les exercices d’incendie peuvent amener les gens à se blesser dans le feu de l’action.
en_1121	Some people find fire drills quite Alarming.	Certaines personnes trouvent les exercices incendie très alarmant	Certaines personnes trouvent les exercices incendie très alarmant	Certaines personnes trouvent les exercices incendie très alarmant
en_1121	Some people find fire drills quite Alarming.	Pour certains, les exercices d'incendie sont alarmants.	Pour certains, les exercices d'incendie sont alarmants.	Pour certains, les exercices d'incendie sont alarmants.
en_1121	Some people find fire drills quite Alarming.	Certaines personnes trouvent les exercices d’incendie plutôt alarmant.	Certaines personnes trouvent les exercices d’incendie plutôt alarmant.	Certaines personnes trouvent les exercices d’incendie plutôt alarmant.
en_1121	Some people find fire drills quite Alarming.	Certains trouvent que les sirènes incendies ont un effet alarmant.	Certains trouvent que les sirènes incendies ont un effet alarmant.	Certains trouvent que les sirènes incendies ont un effet alarmant.
en_1121	Some people find fire drills quite Alarming.	Certains trouvent les exercices incendie très alarmants.	Certains trouvent les exercices incendie très alarmants.	Certains trouvent les exercices incendie très alarmants.
en_1121	Some people find fire drills quite Alarming.	Certaines personnes trouvent les exercices d'incendie alarmants.	Certaines personnes trouvent les exercices d'incendie alarmants.	Certaines personnes trouvent les exercices d'incendie alarmants.
en_1121	Some people find fire drills quite Alarming.	Certains trouvent les exercices d'évacuation incendie assez alarmants.	Certains trouvent les exercices d'évacuation incendie assez alarmants.	Certains trouvent les exercices d'évacuation incendie assez alarmants.
en_1121	Some people find fire drills quite Alarming.	Certaines personnes trouvent que les exercices d'évacuation incendie très alarmants.	Certaines personnes trouvent que les exercices d'évacuation incendie très alarmants.	Certaines personnes trouvent que les exercices d'évacuation incendie très alarmants.
en_1121	Some people find fire drills quite Alarming.	Les simulations d'incendie, certains trouvent ça alarmant.	Les simulations d'incendie, certains trouvent ça alarmant.	Les simulations d'incendie, certains trouvent ça alarmant.
en_114	OLD FLORISTS never die, they just make alternative arrangements.	Un fleuriste ne meurt jamais, seulement, il perd de sa fraîcheur.	Un fleuriste ne meurt jamais, seulement, il perd de sa fraîcheur.	Un fleuriste ne meurt jamais, seulement, il perd de sa fraîcheur.
en_114	OLD FLORISTS never die, they just make alternative arrangements.	Un fleuriste ne meurt jamais : il est juste surbooké.	Un fleuriste ne meurt jamais : il est juste surbooké.	Un fleuriste ne meurt jamais : il est juste surbooké.
en_114	OLD FLORISTS never die, they just make alternative arrangements.	Les vieux fleuristes ne meurent jamais parce qu’ils sont de bonne composition.	Les vieux fleuristes ne meurent jamais parce qu’ils sont de bonne composition.	Les vieux fleuristes ne meurent jamais parce qu’ils sont de bonne composition.
en_114	OLD FLORISTS never die, they just make alternative arrangements.	Les vieux fleuristes ne meurent jamais, car ils continuent à voir la vie en rose.	Les vieux fleuristes ne meurent jamais, car ils continuent à voir la vie en rose.	Les vieux fleuristes ne meurent jamais, car ils continuent à voir la vie en rose.
en_114	OLD FLORISTS never die, they just make alternative arrangements.	Les vieux fleuristes ne meurent jamais, il se composent juste différemment.	Les vieux fleuristes ne meurent jamais, il se composent juste différemment.	Les vieux fleuristes ne meurent jamais, il se composent juste différemment.
en_1144	Get the stick, Rover! Tom called fetchingly.	Va chercher Guevara ! cria Toto en havanant	Va chercher Guevara ! cria Toto en havanant	Va chercher Guevara ! cria Toto en havanant
en_1144	Get the stick, Rover! Tom called fetchingly.	"Allez! Va chercher mon chien!", lança Toto.	"Allez! Va chercher mon chien!", lança Toto.	"Allez! Va chercher mon chien!", lança Toto.
en_1146	The fire chief was always asked burning questions.	Le responsable anti-incendie était toujours mis sur le gril.	Le responsable anti-incendie était toujours mis sur le gril.	Le responsable anti-incendie était toujours mis sur le gril.
en_1146	The fire chief was always asked burning questions.	Le directeur de cabinet posait toujours des questions pressantes.	Le directeur de cabinet posait toujours des questions pressantes.	Le directeur de cabinet posait toujours des questions pressantes.
en_1146	The fire chief was always asked burning questions.	Le chef des pompiers brûlait toujours d'envie de poser des questions importantes	Le chef des pompiers brûlait toujours d'envie de poser des questions importantes	Le chef des pompiers brûlait toujours d'envie de poser des questions importantes
en_1146	The fire chief was always asked burning questions.	Le capitaine des pompiers se charge toujours des question les plus brûlantes.	Le capitaine des pompiers se charge toujours des question les plus brûlantes.	Le capitaine des pompiers se charge toujours des question les plus brûlantes.
en_1146	The fire chief was always asked burning questions.	On laissait toujours le capitaine des pompiers s'occuper des sujets brûlants.	On laissait toujours le capitaine des pompiers s'occuper des sujets brûlants.	On laissait toujours le capitaine des pompiers s'occuper des sujets brûlants.
en_1146	The fire chief was always asked burning questions.	On demandait toujours au chef des pompiers des questions brûlantes	On demandait toujours au chef des pompiers des questions brûlantes	On demandait toujours au chef des pompiers des questions brûlantes
en_1146	The fire chief was always asked burning questions.	C’est toujours au chef des pompiers qu’étaient posées les questions brûlantes.	C’est toujours au chef des pompiers qu’étaient posées les questions brûlantes.	C’est toujours au chef des pompiers qu’étaient posées les questions brûlantes.
en_1146	The fire chief was always asked burning questions.	Une question brûlait les lèvres du chef des pompiers.	Une question brûlait les lèvres du chef des pompiers.	Une question brûlait les lèvres du chef des pompiers.
