id_en	text_clean	pun_word	pun_type	first_meaning	second_meaning	first_context	second_context	manual_location	manual_type	manual_alternative	pun_word_fr	first_meaning_fr	second_meaning_fr	first_context_fr	second_context_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	first_context_bt	second_context_bt
en_11	Old bakers never die, they just stop making lots of dough.	dough	homographic	['mixture', 'batter', 'paste', 'flour', 'leaven']	['money', 'cash', 'currency', 'funds', 'bread']	['bakers']	['making', 'lots of']	dough	homographic	dough	pâte	['mélange', 'pâte', 'pâte à frire', 'farine', 'levain']	['argent', 'liquide', 'monnaie', 'fonds', 'pain']	['boulangers']	['faire', 'beaucoup de']	ERROR	[]	[]	[]	[]
en_12	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	['flue', 'chimney', 'vent', 'duct', 'pipe', 'exhaust']	['flu', 'influenza', 'grippe', 'virus', 'illness', 'sickness']	['fireplaces']	['doctors', 'Asian']	flue	homophonic	flu	conduit	['conduit', 'cheminée', 'évent', 'conduit', 'tuyau', 'évacuation']	['grippe', 'influenza', 'grippe', 'virus', 'maladie', 'maladie']	['cheminées']	['médecins', 'asiatique']	ERROR	[]	[]	[]	[]
en_13	After he bought a mirror he became very reflective.	reflective	homographic	['mirroring', 'shiny', 'polished', 'gleaming', 'glinting']	['thoughtful', 'pensive', 'contemplative', 'meditative', 'introspective']	['mirror']	['became']	reflective	homographic	reflective	réfléchi	['reflétant', 'brillant', 'poli', 'luisant', 'scintillant']	['pensif', 'songeur', 'contemplatif', 'méditatif', 'introspectif']	['miroir']	['est devenu']	ERROR	[]	[]	[]	[]
en_14	This food tastes of plutonium, he said glowingly.	glowingly	homographic	['enthusiastically', 'warmly', 'admiringly', 'praisingly', 'favorably']	['radiantly', 'luminously', 'phosphorescently', 'brightly', 'brilliantly']	['said']	['plutonium']	glowingly	homographic	glowingly	brillamment	['avec enthousiasme', 'chaleureusement', 'avec admiration', 'élogieusement', 'favorablement']	['radieusement', 'lumineusement', 'de manière phosphorescente', 'brillamment', 'avec éclat']	['dit']	['plutonium']	ERROR	[]	[]	[]	[]
en_15	Old typists never die, they just lose their touch.	touch	homographic	['keystroke', 'tactile sensation', 'contact', 'pressing', 'feel']	['skill', 'knack', 'talent', 'proficiency', 'mastery']	['typists']	['Old', 'die']	touch	homographic	touch	touche	['frappe', 'sensation tactile', 'contact', 'pression', 'toucher']	['compétence', 'tour de main', 'talent', 'habileté', 'maîtrise']	['dactylographes']	['vieux', 'mourir']	ERROR	[]	[]	[]	[]
en_16	This salad dressing has too much vinegar, he said acidly.	acidly	homographic	['sourly', 'tartly', 'acidically', 'sharp-tasting']	['sharply', 'bitterly', 'caustically', 'acerbicly', 'sarcastically']	['salad dressing', 'vinegar']	['said']	acidly	homophonic	acid	acidement	['aigrement', 'âprement', 'de manière acide', 'au goût vif']	['sèchement', 'amèrement', 'caustiquement', 'acerbement', 'sarcastiquement']	['vinaigrette', 'vinaigre']	['dit']	ERROR	[]	[]	[]	[]
en_17	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	['flour', 'powdery', 'mealy', 'milled', 'grain-based']	['hourly', 'time-based', 'per-hour', 'periodic', 'chronological']	['baker']	['paying', 'staff', 'rate']	flourly	homophonic	hourly	farin-horaire	['farine', 'poudreux', 'farineux', 'moulu', 'à base de céréales']	['horaire', 'basé sur le temps', "à l'heure", 'périodique', 'chronologique']	['boulanger']	['paiement', 'personnel', 'taux']	ERROR	[]	[]	[]	[]
en_18	Old politicians never die, they just harangue in there.	harangue	homophonic	['lecture', 'rant', 'declaim', 'sermonize', 'orate', 'address']	['hang', 'persist', 'endure', 'persevere', 'remain', 'hold on']	['politicians']	['die', 'in there']	harangue	homophonic	hang	harangue	['sermon', 'diatribe', 'déclamer', 'sermonner', 'discourir', 'allocution']	['pendre', 'persister', 'endurer', 'persévérer', 'rester', 'tenir bon']	['politiciens']	['mourir', 'là-dedans']	ERROR	[]	[]	[]	[]
en_19	Some people find fire drills quite Alarming.	Alarming	homographic	['frightening', 'scary', 'startling', 'disturbing', 'shocking']	['ringing', 'signaling', 'alerting', 'sounding', 'warning']	['people']	['fire drills']	alarming	homophonic	alarm	Alarmant	['effrayant', 'inquiétant', 'saisissant', 'troublant', 'choquant']	['sonnant', 'signalant', 'alertant', 'retentissant', 'avertissant']	['personnes']	["exercices d'incendie"]	ERROR	[]	[]	[]	[]
en_20	Old florists never die, they just make alternative arrangements.	arrangements	homographic	['bouquets', 'floral displays', 'compositions', 'centerpieces', 'wreaths']	['plans', 'preparations', 'provisions', 'settlements', 'agreements']	['florists']	['die']	arrangements	homographic	arrangements	arrangements	['bouquets', 'compositions florales', 'compositions', 'centres de table', 'couronnes']	['plans', 'préparations', 'dispositions', 'règlements', 'accords']	['fleuristes']	['mourir']	ERROR	[]	[]	[]	[]
en_21	Get the stick, Rover! he called fetchingly.	fetchingly	homographic	['retrieving', 'collecting', 'bringing', 'recovering']	['attractively', 'charmingly', 'alluringly', 'pleasingly', 'winningly']	['Get', 'stick', 'Rover']	['called']	fetchingly	homophonic	fetch	séduisamment	['rapporter', 'collecter', 'apporter', 'récupérer']	['de manière attrayante', 'charmamment', 'séduisamment', 'agréablement', 'de façon séduisante']	['Cherche', 'bâton', 'Rover']	['appelé']	ERROR	[]	[]	[]	[]
en_22	The fire chief was always asked burning questions.	burning	homographic	['blazing', 'fiery', 'flaming', 'aflame', 'on fire']	['urgent', 'pressing', 'crucial', 'vital', 'intense']	['fire', 'chief']	['asked', 'questions']	burning	homographic	burning	brûlant	['flamboyant', 'ardent', 'en flammes', 'embrasé', 'en feu']	['urgent', 'pressant', 'crucial', 'vital', 'intense']	['feu', 'chef']	['posé', 'questions']	ERROR	[]	[]	[]	[]
en_23	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	['perspire', 'swelter', 'exude moisture', 'glow', 'transpire']	['endure', 'wait anxiously', 'worry', 'fret', 'persevere']	['sauna']	['hid', 'gunman']	sweat	homographic	sweat	transpirer	['transpirer', 'étouffer de chaleur', "exuder de l'humidité", 'perler', 'transpirer']	['endurer', 'attendre avec anxiété', "s'inquiéter", 'se tracasser', 'persévérer']	['sauna']	['caché', 'tireur']	ERROR	[]	[]	[]	[]
en_24	The astronomer made a claim about a well-known star, but it wasn't sirius.	sirius	homophonic	['Sirius', 'Dog Star', 'Alpha Canis Majoris', 'brightest star']	['serious', 'grave', 'earnest', 'solemn', 'sober']	['astronomer', 'star']	['claim']	sirius	homophonic	serious	sirius	['Sirius', "l'Étoile du Chien", 'Alpha Canis Majoris', "l'étoile la plus brillante"]	['sérieux', 'grave', 'sincère', 'solennel', 'sobre']	['astronome', 'étoile']	['affirmation']	ERROR	[]	[]	[]	[]
en_25	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.	beaux	homophonic	['beaux', 'suitors', 'admirers', 'escorts', 'boyfriends', 'sweethearts']	['bows', 'ribbons', 'knots', 'loops', 'ties', 'decorations']	['debutante', 'charming']	['satin', 'gown']	beaux	homophonic	bow	beaux	['beaux', 'prétendants', 'admirateurs', 'accompagnateurs', 'petits amis', 'amoureux']	['nœuds', 'rubans', 'nœuds', 'boucles', 'attaches', 'décorations']	['débutante', 'charmant']	['satin', 'robe']	ERROR	[]	[]	[]	[]
en_26	Old professors never die, they just lose their class.	class	homographic	['course', 'lecture', 'students', 'lesson', 'seminar']	['elegance', 'dignity', 'style', 'sophistication', 'rank']	['professors']	['die']	class	homographic	class	classe	['cours', 'conférence', 'élèves', 'leçon', 'séminaire']	['élégance', 'dignité', 'style', 'sophistication', 'rang']	['professeurs']	['mourir']	ERROR	[]	[]	[]	[]
en_27	Pasteur was boiling about not being invited.	boiling	homographic	['fuming', 'angry', 'seething', 'enraged', 'furious', 'irate']	['heating', 'bubbling', 'scalding', 'steaming', 'simmering']	['not', 'being', 'invited']	['Pasteur']	boiling	homographic	boiling	bouillant	['fumant', 'en colère', 'bouillonnant', 'enragé', 'furieux', 'irrité']	['chauffant', 'bouillonnant', 'brûlant', 'fumant', 'frémissant']	['ne pas', 'être', 'invité']	['Pasteur']	ERROR	[]	[]	[]	[]
en_28	Sometimes a pencil sharpener is needed in order to make a good point.	point	homographic	['tip', 'nib', 'sharp end', 'spike', 'tapered end']	['argument', 'idea', 'reason', 'thesis', 'gist']	['pencil sharpener']	['make', 'good']	point	homographic	point	pointe	['pointe', 'bec', 'bout pointu', 'pointe', 'extrémité effilée']	['argument', 'idée', 'raison', 'thèse', "l'essentiel"]	['taille-crayon']	['faire', 'bon']	ERROR	[]	[]	[]	[]
en_29	Cooks have a lot of spice in their lives.	spice	homographic	['seasoning', 'flavoring', 'condiment', 'herb', 'aromatic']	['excitement', 'variety', 'zest', 'interest', 'vitality']	['Cooks']	['lives']	spice	homographic	spice	épice	['assaisonnement', 'arôme', 'condiment', 'herbe', 'aromate']	['excitation', 'variété', 'piquant', 'intérêt', 'vitalité']	['Cuisiniers']	['vies']	ERROR	[]	[]	[]	[]
en_30	Old tree surgeons never die, they are just uprooted.	uprooted	homographic	['unearthed', 'pulled out', 'grubbed up', 'extracted']	['displaced', 'relocated', 'removed', 'passed away']	['tree', 'surgeons']	['Old', 'never die']	uprooted	homographic	uprooted	déraciné	['déterré', 'arraché', 'extirpé', 'extrait']	['déplacé', 'réinstallé', 'enlevé', 'décédé']	['arbre', 'chirurgiens']	['Vieux', 'ne meurent jamais']	ERROR	[]	[]	[]	[]
en_31	The trucker explained that he was early because he had had no breaks.	breaks	homophonic	['rest', 'pause', 'intermission', 'recess', 'breather']	['brakes', 'stoppers', 'decelerators', 'curbs']	['early']	['trucker']	breaks	homophonic	brakes	pauses	['repos', 'pause', 'entracte', 'récréation', 'moment de répit']	['freins', "dispositifs d'arrêt", 'décélérateurs', 'limitations']	['tôt']	['camionneur']	ERROR	[]	[]	[]	[]
en_32	Old plumbers never die, they just pipe down.	pipe	homographic	['plumb', 'tube', 'conduit', 'channel', 'piping']	['hush', 'shush', 'be quiet', 'silence', 'settle down']	['plumbers']	['die']	pipe	homographic	pipe	tuyau	['plomberie', 'tube', 'conduit', 'canal', 'tuyauterie']	['chut', 'faire taire', 'se taire', 'silence', 'se calmer']	['plombiers']	['mourir']	ERROR	[]	[]	[]	[]
en_33	The cat in northern Scandinavia always had a lapp to sit on.	lapp	homophonic	['Sami', 'Saami', 'Laplander']	['lap', 'thighs', 'knees', 'seat']	['northern', 'Scandinavia']	['cat', 'sit']	lapp	homophonic	lap	lapon	['Sami', 'Saami', 'Lapon']	['giron', 'cuisses', 'genoux', 'siège']	['nordique', 'Scandinavie']	['chat', "s'asseoir"]	ERROR	[]	[]	[]	[]
en_34	The groundskeeper at a large cemetery was important because he had 5000 people under him.	under	homographic	['subordinate', 'reporting to', 'supervised', 'managed', 'below in rank']	['beneath', 'below', 'underneath', 'buried', 'interred']	['important', '5000 people']	['groundskeeper', 'cemetery']	under	homographic	under	sous	['subordonné', 'relevant de', 'supervisé', 'géré', 'inférieur en rang']	['sous', 'en dessous de', 'au-dessous', 'enterré', 'inhumé']	['important', '5000 personnes']	['gardien', 'cimetière']	ERROR	[]	[]	[]	[]
en_35	A little boy called his father who made balloons 'pop'.	pop	homographic	['father', 'dad', 'papa', 'daddy', 'pa']	['burst', 'explode', 'bang', 'crack', 'snap']	['father', 'boy']	['balloons']	pop	homographic	pop	pop	['père', 'papa', 'papa', 'papa', "p'pa"]	['éclater', 'exploser', 'pan', 'craquement', 'claquement']	['père', 'garçon']	['ballons']	ERROR	[]	[]	[]	[]
en_36	Neuter your dog-an ounce of prevention is better than a pound of curs.	curs	homophonic	['curs', 'mongrels', 'mutts', 'dogs', 'hounds']	['cure', 'remedy', 'treatment', 'solution', 'antidote']	['neuter', 'dog', 'pound']	['ounce', 'prevention', 'better', 'pound']	curs	homophonic	cures	chiens hargneux	['chiens hargneux', 'bâtards', 'clébards', 'chiens', 'limiers']	['cure', 'remède', 'traitement', 'solution', 'antidote']	['stériliser', 'chien', 'fourrière']	['once', 'prévention', 'mieux', 'livre']	ERROR	[]	[]	[]	[]
en_37	He recommended the restaurant to me, and said he had no reservations.	reservations	homographic	['booking', 'arrangement', 'pre-engagement', 'appointment']	['doubts', 'hesitations', 'misgivings', 'qualms', 'uncertainty']	['restaurant']	['recommended']	reservations	homographic	reservations	réservations	['réservation', 'arrangement', 'engagement préalable', 'rendez-vous']	['doutes', 'hésitations', 'appréhensions', 'scrupules', 'incertitude']	['restaurant']	['recommandé']	ERROR	[]	[]	[]	[]
en_38	The mortician was late for dinner because he was buried in his work.	buried	homographic	['interred', 'entombed', 'laid to rest', 'inhumed']	['overwhelmed', 'swamped', 'inundated', 'busy', 'engrossed']	['mortician']	['late for dinner', 'work']	buried	homographic	buried	enterré	['inhumé', 'enseveli', 'mis en terre', 'enterré']	['débordé', 'submergé', 'inondé', 'occupé', 'absorbé']	['croque-mort']	['en retard pour le dîner', 'travail']	ERROR	[]	[]	[]	[]
en_39	Old enumerators never die, they just lose their census	census	homophonic	['census', 'population count', 'enumeration', 'survey', 'registry', 'poll']	['senses', 'faculties', 'perception', 'wits', 'awareness', 'consciousness']	['enumerators']	['die', 'lose']	census	homophonic	senses	recensement	['recensement', 'comptage de la population', 'énumération', 'enquête', 'registre', 'sondage']	['sens', 'facultés', 'perception', 'esprits', 'conscience', 'connaissance']	['recenseurs']	['mourir', 'perdre']	ERROR	[]	[]	[]	[]
en_40	The class took a field trip to a meat processing plant, but what they saw was just offal.	offal	homophonic	['entrails', 'organ meats', 'viscera', 'trimmings', 'offal']	['terrible', 'horrible', 'appalling', 'disgusting', 'awful']	['meat', 'processing', 'plant']	['but']	offal	homophonic	awful	abats	['entrailles', 'abats', 'viscères', 'parures', 'tripes']	['terrible', 'horrible', 'épouvantable', 'dégoûtant', 'affreux']	['viande', 'transformation', 'usine']	['mais']	ERROR	[]	[]	[]	[]
en_41	Old pilots never die, they just get more turbulent.	turbulent	homographic	['bumpy', 'choppy', 'rough', 'unstable', 'jarring']	['unruly', 'tempestuous', 'disorderly', 'rowdy', 'volatile']	['pilots']	['Old', 'die']	turbulent	homographic	turbulent	turbulent	['mouvementé', 'agité', 'rude', 'instable', 'secouant']	['indiscipliné', 'tempétueux', 'désordonné', 'chahuteur', 'instable']	['pilotes']	['vieux', 'mourir']	ERROR	[]	[]	[]	[]
en_42	Use your own toothbrush! he bristled.	bristled	homographic	['seethed', 'fumed', 'bridled', 'took offense', 'became irritated']	['stiffened', 'stood on end', 'rose', 'prickled']	['Use your own toothbrush!']	['toothbrush']	bristled	homographic	bristled	s'est hérissé	['a bouilli', 'a fumé de rage', "s'est cabré", "s'est offusqué", "s'est irrité"]	["s'est raidi", "s'est dressé", "s'est soulevé", 'a piqué']	['Utilise ta propre brosse à dents !']	['brosse à dents']	ERROR	[]	[]	[]	[]
en_43	My wife really likes to make pottery, but to me it's just kiln time.	kiln	homophonic	['kiln', 'oven', 'furnace', 'stove', 'firebox']	['killing', 'wasting', 'passing', 'idling', 'spending']	['pottery', 'make']	['time']	kiln	homophonic	killing	four	['four', 'four', 'fournaise', 'poêle', 'foyer']	['tuer', 'gaspiller', 'passer', 'flâner', 'passer']	['poterie', 'fabriquer']	['temps']	ERROR	[]	[]	[]	[]
en_44	I won't tell you anything about my salivary glands, he said secretively.	secretively	homographic	['stealthily', 'furtively', 'covertly', 'privately', 'clandestinely']	['secretory', 'secreting', 'discharging', 'releasing', 'emitting']	["won't", 'tell', 'anything']	['salivary', 'glands']	secretively	homophonic	secrete	secrètement	['furtivement', 'à la dérobée', 'discrètement', 'en privé', 'clandestinement']	['sécrétoire', 'sécrétant', 'déchargeant', 'libérant', 'émettant']	['ne voudra pas', 'dire', 'rien']	['salivaires', 'glandes']	ERROR	[]	[]	[]	[]
en_45	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	degree	homographic	['qualification', 'diploma', 'certification', 'academic title', 'credential']	['extent', 'measure', 'level', 'amount', 'stage', 'grade']	['study', 'university']	['ambiguity']	degree	homographic	degree	degré	['qualification', 'diplôme', 'certification', 'titre académique', 'titre de compétence']	['étendue', 'mesure', 'niveau', 'quantité', 'stade', 'échelon']	['étude', 'université']	['ambiguïté']	ERROR	[]	[]	[]	[]
en_46	People have a happy time vacationing in Ireland because they are walking on Eire.	Eire	homophonic	['Ireland', 'Republic of Ireland', 'Emerald Isle', 'Hibernia']	['air', 'atmosphere', 'elated', 'joyful', 'euphoric', 'thrilled']	['Ireland', 'vacationing']	['happy', 'walking on']	eire	homophonic	air	Éire	['Irlande', "République d'Irlande", "l'Île émeraude", 'Hibernie']	['air', 'atmosphère', 'exultant', 'joyeux', 'euphorique', 'ravi']	['Irlande', 'en vacances']	['heureux', 'marcher sur']	ERROR	[]	[]	[]	[]
en_47	Who's your favorite operatic tenor? he asked placidly.	placidly	homophonic	['calmly', 'serenely', 'tranquilly', 'peacefully', 'quietly']	['Plácido', 'Domingo', 'tenor', 'singer', 'performer']	['asked']	['operatic', 'tenor']	placidly	homophonic	placido	paisiblement	['calmement', 'sereinement', 'tranquillement', 'paisiblement', 'silencieusement']	['Plácido', 'Domingo', 'ténor', 'chanteur', 'interprète']	['demandé']	['lyrique', 'ténor']	ERROR	[]	[]	[]	[]
en_48	The salt said 'hi' to the pepper. It was seasonings greetings.	seasonings	homophonic	['spices', 'flavorings', 'condiments', 'herbs', 'seasonings']	['holiday', 'festive', 'seasonal', 'time of year', "season's"]	['salt', 'pepper']	["said 'hi'", 'greetings']	seasonings	homophonic	seasons	assaisonnements	['épices', 'arômes', 'condiments', 'herbes', 'assaisonnements']	['fêtes', 'festif', 'saisonnier', "période de l'année", 'de la saison']	['sel', 'poivre']	['a dit "salut"', 'salutations']	ERROR	[]	[]	[]	[]
en_49	The book about Teflon contained no frictional characters.	frictional	homophonic	['abrasive', 'resistant', 'rubbing', 'chafing', 'frictional']	['imaginary', 'invented', 'made-up', 'fictitious', 'fictional']	['Teflon']	['book', 'characters']	frictional	homophonic	fictional	frictionnel	['abrasif', 'résistant', 'frottement', 'irritation', 'frictionnel']	['imaginaire', 'inventé', 'fictif', 'fictif', 'fictionnel']	['Téflon']	['livre', 'personnages']	ERROR	[]	[]	[]	[]
en_50	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	opposed	homographic	['against', 'resistant', 'conflicting', 'hostile', 'dissenting']	['facing', 'opposite', 'counterposed', 'fronting', 'across']	['willing', 'cooperate']	['fingers', 'thumb', 'forefinger']	opposed	homographic	opposed	opposé	['contre', 'résistant', 'conflictuel', 'hostile', 'dissident']	['faisant face', 'opposé', 'contre-posé', 'devant', 'en face']	['disposé', 'coopérer']	['doigts', 'pouce', 'index']	ERROR	[]	[]	[]	[]
en_51	If you spend too much time in the coffee shop you'll be latte for work.	latte	homophonic	['latte', 'espresso', 'coffee', 'beverage', 'caffeine']	['late', 'tardy', 'overdue', 'delayed', 'behind schedule']	['coffee shop']	['spend too much time', 'work']	latte	homophonic	late	latte	['latte', 'expresso', 'café', 'boisson', 'caféine']	['en retard', 'tardif', 'en retard', 'retardé', "en retard sur l'horaire"]	['café']	['passer trop de temps', 'travail']	ERROR	[]	[]	[]	[]
en_52	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	galleon	homophonic	['ship', 'vessel', 'sailing vessel', 'craft', 'galleon']	['gallon', 'unit of volume', 'liquid measure', 'measure of fuel']	['ancient times', 'seagoing vessels']	['fuel efficient', 'miles']	galleon	homophonic	gallon	galion	['navire', 'vaisseau', 'voilier', 'embarcation', 'galion']	['gallon', 'unité de volume', 'mesure de liquide', 'mesure de carburant']	['temps anciens', 'navires de mer']	['économe en carburant', 'milles']	ERROR	[]	[]	[]	[]
en_53	Some resist having the'flu jab but it's quite innocuous.	innocuous	homophonic	['harmless', 'safe', 'benign', 'inoffensive', 'innocuous']	['inoculation', 'vaccination', 'injection', 'immunization', 'in-ocuous']	['resist']	["'flu", 'jab']	innocuous	homophonic	inoculate	inoffensif	['inoffensif', 'sûr', 'bénin', 'inoffensif', 'anodin']	['inoculation', 'vaccination', 'injection', 'immunisation', 'in-oculé']	['résister']	['grippe', 'piqûre']	ERROR	[]	[]	[]	[]
en_54	Pretend we were in the days before railways, he coached.	coached	homographic	['instructed', 'trained', 'mentored', 'prompted', 'guided']	['drove', 'transported', 'traveled by carriage', 'conveyed']	['Pretend']	['railways', 'days before']	coached	homophonic	coach	entraîné	['instruit', 'formé', 'mentoré', 'incité', 'guidé']	['conduit', 'transporté', 'voyagé en diligence', 'véhiculé']	['Faire semblant']	['chemins de fer', 'autrefois']	ERROR	[]	[]	[]	[]
en_55	Old principals never die they just lose their faculties.	faculties	homographic	['abilities', 'senses', 'wits', 'capabilities', 'powers', 'mental capacity']	['staff', 'teachers', 'educators', 'academic staff', 'instructors']	['Old', 'die']	['principals']	faculties	homographic	faculties	facultés	['capacités', 'sens', 'esprit', 'aptitudes', 'pouvoirs', 'capacité mentale']	['personnel', 'enseignants', 'éducateurs', 'corps professoral', 'instructeurs']	['Vieux', 'mourir']	['directeurs']	ERROR	[]	[]	[]	[]
en_56	Old railroaders never die, they just derail.	derail	homographic	['go off the tracks', 'crash', 'wreck', 'leave the tracks']	['die', 'pass away', 'perish', 'expire']	['railroaders']	['die']	derail	homographic	derail	dérailler	['dérailler', "s'écraser", 'se fracasser', 'quitter les rails']	['mourir', 'décéder', 'périr', 'expirer']	['cheminots']	['mourir']	ERROR	[]	[]	[]	[]
en_57	He bought a plate with four corners so he could have a square meal.	square	homographic	['quadrilateral', 'four-sided', 'equilateral', 'rectangular']	['substantial', 'satisfying', 'hearty', 'solid', 'balanced']	['plate', 'four corners']	['meal']	square	homographic	square	carré	['quadrilatère', 'à quatre côtés', 'équilatéral', 'rectangulaire']	['copieux', 'rassasiant', 'consistant', 'solide', 'équilibré']	['assiette', 'quatre coins']	['repas']	ERROR	[]	[]	[]	[]
en_58	Because they moved into an apartment, they didn't need to cut the grass any mow.	mow	homophonic	['cut', 'trim', 'crop', 'shear', 'mow']	['longer', 'further', 'additionally', 'again', 'more']	['cut', 'grass']	['any']	mow	homophonic	more	tondre	['couper', 'tailler', 'rogner', 'tondre', 'faucher']	['plus long', 'plus loin', 'en plus', 'encore', 'plus']	['couper', 'herbe']	["n'importe lequel"]	ERROR	[]	[]	[]	[]
